"Clusters","Targets"
"1","AT1G78100"
"1","AT5G41400"
"1","AT2G31750"
"1","AT2G28350"
"1","AT5G15860"
"1","AT1G49740"
"1","AT3G02910"
"1","AT1G79520"
"1","AT3G60050"
"1","AT1G61740"
"1","AT5G44190"
"1","AT5G13740"
"1","AT4G16141"
"1","AT4G19420"
"1","AT5G60890"
"1","AT1G75760"
"1","AT1G50460"
"1","AT3G19680"
"1","AT4G16563"
"1","AT2G37580"
"1","AT1G22500"
"1","AT4G26490"
"1","AT4G12300"
"1","AT3G14810"
"1","AT2G01850"
"1","AT3G49220"
"1","AT1G69440"
"1","AT2G17230"
"1","AT1G59700"
"1","AT3G21670"
"1","AT5G25110"
"1","AT4G12290"
"1","AT1G26920"
"1","AT3G11690"
"1","AT1G48260"
"1","AT2G23130"
"1","AT5G15850"
"1","AT2G47440"
"1","AT2G43540"
"1","AT5G49665"
"1","AT1G69160"
"1","AT4G20260"
"1","AT1G56010"
"1","AT4G16765"
"1","AT1G69780"
"1","AT1G79410"
"1","AT1G69295"
"1","AT5G61570"
"1","AT1G69370"
"1","AT5G01880"
"1","AT5G05870"
"1","AT5G53450"
"1","AT3G62650"
"1","AT5G47560"
"1","AT1G75100"
"1","AT1G22490"
"1","AT2G26690"
"1","AT1G48750"
"1","AT1G22530"
"1","AT4G03400"
"1","AT1G70230"
"1","AT1G21410"
"1","AT5G14360"
"1","AT5G67160"
"1","AT4G01080"
"1","AT1G50420"
"1","AT4G34610"
"1","AT1G16850"
"1","AT5G67470"
"1","AT5G36160"
"1","AT3G61220"
"1","AT2G37540"
"1","AT1G55265"
"1","AT3G05880"
"1","AT1G16320"
"1","AT4G34480"
"1","AT2G45990"
"1","AT1G78670"
"1","AT5G43850"
"1","AT2G32290"
"1","AT2G48030"
"1","AT2G35060"
"1","AT5G27930"
"1","AT3G15970"
"1","AT1G50020"
"1","AT5G20270"
"1","AT5G65613"
"1","AT1G09910"
"1","AT1G76955"
"1","AT1G13090"
"1","AT2G24390"
"1","AT2G22450"
"1","AT1G24148"
"1","AT1G31170"
"1","AT2G13290"
"1","AT4G29070"
"1","AT5G58770"
"1","AT4G02980"
"1","AT5G06530"
"1","AT1G12050"
"1","AT5G23580"
"1","AT2G33480"
"1","AT5G23240"
"1","AT5G15960"
"1","AT2G41140"
"1","AT1G56580"
"1","AT3G02510"
"1","AT4G26850"
"1","AT1G64810"
"1","AT5G26160"
"1","AT4G20930"
"1","AT1G64970"
"1","AT3G24120"
"1","AT3G11090"
"1","AT2G48020"
"1","AT4G17550"
"1","AT1G72180"
"1","AT5G48880"
"1","AT5G27710"
"1","AT1G71240"
"1","AT1G35720"
"1","AT3G55940"
"1","AT1G54340"
"1","AT2G18790"
"1","AT1G73680"
"1","AT2G04080"
"1","AT2G46100"
"1","AT2G20050"
"1","AT5G65380"
"1","AT3G15790"
"1","AT5G47020"
"1","AT1G62250"
"1","AT1G74300"
"1","AT5G16990"
"1","AT4G08900"
"1","AT1G53840"
"1","AT3G21360"
"1","AT5G07860"
"1","AT1G49670"
"1","AT1G18670"
"1","AT3G14690"
"1","AT3G45310"
"1","AT4G04210"
"1","AT1G32260"
"1","AT5G24570"
"1","AT1G49480"
"1","AT3G05345"
"1","AT4G33490"
"1","AT2G43940"
"1","AT5G50100"
"1","AT3G25740"
"1","AT1G02350"
"1","AT1G49750"
"1","AT3G60160"
"1","AT1G02205"
"1","AT3G29090"
"1","AT3G06960"
"1","AT4G20170"
"1","AT1G52710"
"1","AT4G34500"
"1","AT1G60940"
"1","AT4G29680"
"1","AT2G36830"
"1","AT4G31600"
"1","AT1G30260"
"1","AT1G66330"
"1","AT2G41190"
"1","AT5G58070"
"1","AT4G02420"
"1","AT4G37560"
"1","AT1G14820"
"1","AT2G33530"
"1","AT1G73240"
"1","AT3G60440"
"1","AT5G09960"
"1","AT5G38980"
"1","AT1G18490"
"1","AT4G38460"
"1","AT1G19960"
"1","AT2G39010"
"1","AT1G69252"
"1","AT1G29395"
"1","AT4G26130"
"1","AT1G13930"
"1","AT4G23600"
"1","AT2G02450"
"1","AT1G79810"
"1","AT1G51090"
"1","AT5G34850"
"1","AT5G20110"
"1","AT5G27150"
"1","AT1G14410"
"1","AT1G50940"
"1","AT1G34570"
"1","AT3G03640"
"1","AT5G53280"
"1","AT5G15970"
"1","AT1G79870"
"1","AT5G10810"
"1","AT1G53730"
"1","AT5G19750"
"1","AT1G52000"
"1","AT2G46420"
"1","AT5G13720"
"1","AT2G40080"
"1","AT1G66980"
"1","AT5G48590"
"1","AT4G16330"
"1","AT3G62140"
"1","AT5G47650"
"1","AT3G11660"
"1","AT2G43530"
"1","AT5G65440"
"1","AT2G39020"
"1","AT5G25120"
"1","AT2G32520"
"1","AT4G17150"
"1","AT1G14690"
"1","AT5G60360"
"1","AT5G13710"
"1","AT5G53350"
"1","AT5G11840"
"1","AT2G13690"
"1","AT5G41960"
"1","AT5G67230"
"1","AT1G24240"
"1","AT5G45800"
"1","AT4G11900"
"1","AT5G58670"
"1","AT4G18975"
"1","AT5G60400"
"1","AT3G26165"
"1","AT5G08380"
"1","AT1G68920"
"1","AT3G57540"
"1","AT1G64890"
"1","AT4G34650"
"1","AT4G21750"
"1","AT1G31550"
"1","AT3G01550"
"1","AT5G37310"
"1","AT1G64850"
"1","AT4G27520"
"1","AT5G11810"
"1","AT3G46900"
"1","AT4G34588"
"1","AT4G15080"
"1","AT4G33950"
"1","AT2G20920"
"1","AT3G51730"
"1","AT2G31300"
"1","AT5G43860"
"1","AT2G27920"
"1","AT5G02480"
"1","AT3G10130"
"1","AT2G34200"
"1","AT3G62800"
"1","AT5G64480"
"1","AT3G12950"
"1","AT4G35550"
"1","AT5G06240"
"1","AT3G51750"
"1","AT1G79260"
"1","AT2G42750"
"1","AT1G01830"
"1","AT3G62970"
"1","AT4G32970"
"1","AT2G41312"
"1","AT2G22660"
"1","AT4G03150"
"1","AT4G19390"
"1","AT4G16770"
"1","AT1G21790"
"1","AT4G13830"
"1","AT3G53470"
"1","AT2G45250"
"1","AT5G53940"
"1","AT2G32080"
"1","AT3G07730"
"1","AT1G30910"
"1","AT4G18280"
"1","AT4G28270"
"1","AT3G13810"
"1","AT3G13550"
"1","AT5G65470"
"1","AT3G44820"
"1","AT5G52540"
"1","AT5G57040"
"1","AT4G03200"
"1","AT3G15480"
"1","AT5G63800"
"1","AT5G07790"
"1","AT2G41540"
"1","AT1G76020"
"1","AT3G03150"
"1","AT1G28140"
"1","AT5G06280"
"1","AT1G26160"
"1","AT1G30500"
"1","AT1G73390"
"1","AT1G51170"
"1","AT2G36895"
"1","AT3G22425"
"1","AT4G15840"
"1","AT4G17430"
"1","AT3G17365"
"1","AT2G39000"
"1","AT1G63900"
"1","AT3G42630"
"1","AT1G74210"
"1","AT3G30300"
"1","AT3G19515"
"1","AT1G64670"
"1","AT1G20330"
"1","AT1G02305"
"1","AT3G21465"
"1","AT5G02130"
"1","AT2G45660"
"1","AT3G07180"
"1","AT1G10020"
"1","AT5G61670"
"1","AT1G68550"
"1","AT1G17430"
"1","AT4G24220"
"1","AT2G15320"
"1","AT5G41480"
"1","AT5G14550"
"1","AT3G12290"
"1","AT4G16190"
"1","AT2G18620"
"1","AT4G04020"
"1","AT5G59470"
"1","AT5G62470"
"1","AT1G65190"
"1","AT1G55160"
"1","AT1G27170"
"1","AT5G13050"
"1","AT3G60810"
"1","AT1G54290"
"1","AT5G01230"
"1","AT5G44200"
"1","AT3G44120"
"1","AT1G64950"
"1","AT1G75410"
"1","AT4G13150"
"1","AT2G04850"
"1","AT4G23980"
"1","AT1G75980"
"1","AT2G15020"
"1","AT5G59030"
"1","AT4G08790"
"1","AT1G56700"
"1","AT1G21770"
"1","AT3G26290"
"1","AT3G11070"
"1","AT1G67560"
"1","AT5G55260"
"1","AT5G48630"
"1","AT5G25280"
"1","AT5G15240"
"1","AT3G11470"
"1","AT4G08310"
"1","AT1G24470"
"1","AT4G08870"
"1","AT1G31070"
"1","AT5G01770"
"1","AT1G05690"
"1","AT1G75310"
"1","AT3G17590"
"1","AT1G24090"
"1","AT4G34000"
"1","AT1G15100"
"1","AT5G08510"
"1","AT5G20320"
"1","AT3G22200"
"1","AT3G44880"
"1","AT2G17550"
"1","AT3G18770"
"1","AT2G43535"
"1","AT3G27250"
"1","AT3G44450"
"1","AT2G02850"
"1","AT1G70640"
"1","AT3G59490"
"1","AT1G20440"
"1","AT5G13750"
"1","AT5G02150"
"1","AT2G23840"
"1","AT1G30280"
"1","AT5G01595"
"1","AT1G68585"
"1","AT1G72790"
"1","AT2G46685"
"1","AT1G62660"
"1","AT4G27100"
"1","AT5G08150"
"1","AT2G46680"
"1","AT1G14520"
"1","AT3G61260"
"1","AT3G13062"
"1","AT3G07360"
"1","AT1G06270"
"1","AT5G44565"
"1","AT1G68780"
"1","AT4G36470"
"1","AT5G10946"
"1","AT1G07720"
"1","AT1G26740"
"1","AT1G19570"
"1","AT1G69870"
"1","AT2G38970"
"1","AT5G23760"
"1","AT2G01130"
"1","AT2G38660"
"1","AT2G45590"
"1","AT4G01070"
"1","AT1G19710"
"1","AT4G14270"
"1","AT3G55240"
"1","AT4G32250"
"1","AT5G46680"
"1","AT3G20270"
"1","AT1G67300"
"1","AT2G19250"
"1","AT5G39940"
"1","AT3G27210"
"1","AT3G27170"
"1","AT4G38400"
"1","AT1G09490"
"1","AT3G06450"
"1","AT2G26740"
"1","AT4G25800"
"1","AT5G16630"
"1","AT2G38750"
"1","AT4G25433"
"1","AT4G34920"
"1","AT2G47780"
"1","AT3G53370"
"1","AT2G37200"
"1","AT3G46650"
"1","AT1G28260"
"1","AT3G28160"
"1","AT1G22790"
"1","AT1G53560"
"1","AT1G30610"
"1","AT5G52310"
"1","AT4G27710"
"1","AT1G25250"
"1","AT2G03980"
"1","AT5G47180"
"1","AT1G34760"
"1","AT3G26180"
"1","AT4G17616"
"1","AT3G45140"
"1","AT1G70660"
"1","AT1G44790"
"1","AT2G21880"
"1","AT5G52370"
"1","AT2G45690"
"1","AT1G62810"
"1","AT1G76590"
"1","AT3G16420"
"1","AT1G06640"
"1","AT4G21930"
"1","AT5G16940"
"1","AT1G53210"
"1","AT2G38400"
"1","AT1G61100"
"1","AT2G42240"
"1","AT5G04490"
"1","AT1G27150"
"1","AT5G53220"
"1","AT3G09390"
"1","AT3G47640"
"1","AT5G22210"
"1","AT5G19630"
"1","AT4G20070"
"1","AT1G25425"
"1","AT3G06660"
"1","AT3G54360"
"1","AT3G10550"
"1","AT1G73820"
"1","AT5G52320"
"1","AT1G74290"
"1","AT5G57550"
"1","AT2G26070"
"1","AT1G05160"
"1","AT3G11580"
"1","AT1G65295"
"1","AT4G31650"
"1","AT2G13840"
"1","AT3G01300"
"1","AT3G20080"
"1","AT4G25480"
"1","AT4G17910"
"1","AT1G52880"
"1","AT2G39910"
"1","AT5G14680"
"1","AT5G02230"
"1","AT5G08400"
"1","AT3G26782"
"1","AT4G35530"
"1","AT3G10260"
"1","AT1G76790"
"1","AT3G14000"
"1","AT1G01140"
"1","AT5G15500"
"1","AT5G25995"
"1","AT1G70090"
"1","AT3G14160"
"1","AT4G35840"
"1","AT5G10910"
"1","AT4G17098"
"1","AT1G09230"
"1","AT2G25625"
"1","AT5G10650"
"1","AT5G49960"
"1","AT1G32900"
"1","AT5G23820"
"1","AT5G54520"
"1","AT2G33990"
"1","AT5G39980"
"1","AT5G16310"
"1","AT1G07040"
"1","AT3G04443"
"1","AT2G24540"
"1","AT4G31780"
"1","AT1G80650"
"1","AT1G13145"
"1","AT5G23410"
"1","AT1G05560"
"1","AT1G52410"
"1","AT4G29110"
"1","AT5G38590"
"1","AT3G26590"
"1","AT4G30960"
"1","AT4G24960"
"1","AT3G16690"
"1","AT3G28270"
"1","AT1G62710"
"1","AT2G35940"
"1","AT3G23255"
"1","AT3G05165"
"1","AT3G60150"
"1","AT5G46850"
"1","AT2G30280"
"1","AT2G39705"
"1","AT5G61810"
"1","AT1G28110"
"1","AT5G42650"
"1","AT5G67180"
"1","AT4G35020"
"1","AT5G52450"
"1","AT3G05640"
"1","AT1G58210"
"1","AT5G53870"
"1","AT5G40570"
"1","AT1G13740"
"1","AT1G52040"
"1","AT3G21420"
"1","AT2G41290"
"1","AT5G65640"
"1","AT1G54120"
"1","AT5G41070"
"1","AT4G02050"
"1","AT4G25570"
"1","AT4G21705"
"1","AT2G37678"
"1","AT2G34660"
"1","AT1G72420"
"1","AT4G04840"
"1","AT5G40920"
"1","AT4G22850"
"1","AT1G20450"
"1","AT4G02610"
"1","AT5G64430"
"1","AT2G22430"
"1","AT4G35560"
"1","AT1G78070"
"1","AT3G28220"
"1","AT3G61540"
"1","AT2G14170"
"1","AT1G24330"
"1","AT3G15115"
"1","AT3G11410"
"1","AT4G15790"
"1","AT3G50570"
"1","AT5G23235"
"1","AT1G53170"
"1","AT3G46670"
"1","AT4G14660"
"1","AT1G26260"
"1","AT4G35320"
"1","AT4G26150"
"1","AT4G38580"
"1","AT1G24070"
"1","AT1G61970"
"1","AT5G39410"
"1","AT2G25570"
"1","AT5G17460"
"1","AT4G28820"
"1","AT3G15780"
"1","AT2G34450"
"1","AT5G59320"
"1","AT3G24520"
"1","AT3G03900"
"1","AT4G01897"
"1","AT1G80130"
"1","AT3G25770"
"1","AT1G74458"
"1","AT5G64570"
"1","AT5G05590"
"1","AT2G33380"
"1","AT2G25420"
"1","AT3G04020"
"1","AT1G01120"
"1","AT1G72830"
"1","AT5G40910"
"1","AT2G46535"
"1","AT1G64580"
"1","AT2G01400"
"1","AT4G17840"
"1","AT5G50315"
"1","AT1G55280"
"1","AT1G56020"
"1","AT4G16670"
"1","AT4G01140"
"1","AT1G52855"
"1","AT4G37150"
"1","AT1G78230"
"1","AT5G10320"
"1","AT2G42170"
"1","AT1G18710"
"1","AT1G01240"
"1","AT4G23950"
"1","AT5G21910"
"1","AT1G58270"
"1","AT3G26320"
"1","AT1G61065"
"1","AT5G14780"
"1","AT1G53345"
"1","AT1G48745"
"1","AT1G63570"
"1","AT2G44230"
"1","AT4G00430"
"1","AT5G29000"
"1","AT5G43150"
"1","AT5G59662"
"1","AT5G16120"
"1","AT1G53900"
"1","AT4G15630"
"1","AT5G66610"
"1","AT1G52400"
"1","AT3G23605"
"1","AT1G14130"
"1","AT5G47240"
"1","AT1G07740"
