"DE_genes","DAS_genes","DE_trans","DTU_trans"
"AT3G52870","AT1G01550","AT3G52870_P1","AT1G01550_P1"
"AT4G11660","AT1G01690","AT5G41180_P1","AT1G01550_P2"
"AT5G41180","AT1G02350","AT3G45640_P1","AT1G02350_c5"
"AT4G23570","AT1G03100","AT4G11660_P1","AT1G03100_P1"
"AT5G58430","AT1G04080","AT4G23570_P2","AT1G03100_s1"
"AT4G18250","AT1G05670","AT5G27420_c1","AT1G03830_P2"
"AT1G21120","AT1G06820","AT5G58430_P1","AT1G04080_P1"
"AT3G45640","AT1G07728","AT1G21120_P2","AT1G05320.2"
"AT4G26400","AT1G08630","AT1G16420_P1","AT1G05710_P3"
"AT5G57220","AT1G08970","AT4G18253_P1","AT1G06710_JS4"
"AT5G16480","AT1G09710","AT5G01980.1","AT1G06820_P1"
"AT5G22520","AT1G10120","AT4G18250_P1","AT1G08630_P7"
"AT5G66210","AT1G11130","AT1G13110_P1","AT1G08630.2"
"AT2G22300","AT1G12440","AT5G26920_P1","AT1G08970.3"
"AT5G27420","AT1G13000","AT5G56340_P1","AT1G11130_c1"
"AT5G56340","AT1G14270","AT3G60415_P1","AT1G11130_P1"
"AT1G11050","AT1G14650","AT5G18470_P1","AT1G12440_P1"
"AT5G01980","AT1G14700","AT4G18880_P1","AT1G12440_P3"
"AT1G30755","AT1G15410","AT5G22520_P1","AT1G14270_P1"
"AT5G42830","AT1G16090","AT4G23220.1","AT1G14650_JS9"
"AT1G32127","AT1G17090","AT1G24145_P1","AT1G14650_P1"
"AT3G57550","AT1G17350","AT5G60800_P1","AT1G14700_P1"
"AT5G06560","AT1G17850","AT3G48090_P1","AT1G15410_P2"
"AT5G66850","AT1G20380","AT1G11050_P1","AT1G16090_JC1"
"AT1G01560","AT1G26090","AT2G40140_P1","AT1G16090.1"
"AT4G04540","AT1G27180","AT1G67970_P1","AT1G17090_P2"
"AT3G15518","AT1G27520","AT4G04540_P1","AT1G17090_P3"
"AT1G13110","AT1G27700","AT4G12720_JC10","AT1G17350_c2"
"AT4G18880","AT1G30520","AT1G51660.1","AT1G20380_P1"
"AT1G78410","AT1G32190","AT3G50930_P1","AT1G26090_c2"
"AT2G40095","AT1G49032","AT5G66900_P2","AT1G27180_P2"
"AT2G41835","AT1G49630","AT2G41835.1","AT1G27180.1"
"AT4G38560","AT1G51645","AT4G16860_P1","AT1G27520_ID5"
"AT4G39640","AT1G52500","AT5G06560_P1","AT1G27700_s1"
"AT5G66900","AT1G53165","AT3G07720_P1","AT1G27700.1"
"AT4G16860","AT1G53990","AT1G66090_P1","AT1G29120_JC5"
"AT2G41880","AT1G54380","AT5G39670.1","AT1G30520_P1"
"AT1G16420","AT1G56145","AT4G14365_P1","AT1G32190_P1"
"AT5G66620","AT1G58590","AT4G17900_P1","AT1G32190.2"
"AT4G02550","AT1G61430","AT1G01560_P2","AT1G49032_P1"
"AT4G19520","AT1G63020","AT4G37640_P1","AT1G49032_P2"
"AT4G38940","AT1G63830","AT4G09570.1","AT1G49630.3"
"AT5G26920","AT1G64150","AT1G72240_P1","AT1G50140_s5"
"AT5G18470","AT1G64760","AT1G55450_P1","AT1G51645_s1"
"AT1G33600","AT1G66260","AT1G08050_P1","AT1G51645.1"
"AT1G67970","AT1G66460","AT1G30755.1","AT1G52500_P1"
"AT2G16500","AT1G67500","AT4G33050_P5","AT1G53165_P1"
"AT1G72240","AT1G67560","AT2G29720_P1","AT1G54380_c2"
"AT4G18253","AT1G68920","AT5G66850_P1","AT1G56145_ID2"
"AT4G23220","AT1G69420","AT1G17340_P1","AT1G56145_P1"
"AT4G37640","AT1G70410","AT1G13210_P1","AT1G58590_ID5"
"AT2G44600","AT1G72250","AT4G17250_P1","AT1G61430_P9"
"AT3G54150","AT1G75300","AT1G08930.2","AT1G63020_P1"
"AT5G25260","AT2G01830","AT5G04720_P1","AT1G63020.2"
"AT3G25600","AT2G01860","AT1G72920_P1","AT1G63830_ID4"
"AT3G55950","AT2G02080","AT3G12740_P1","AT1G63830_P1"
"AT5G01970","AT2G04378","AT4G26400_P2","AT1G64150_P1"
"AT1G30420","AT2G04430","AT1G62422_P1","AT1G64760_P2"
"AT5G47910","AT2G13800","AT5G02290_P1","AT1G65950_s5"
"AT4G34390","AT2G16380","AT1G21130_P1","AT1G66260_P1"
"AT4G09570","AT2G16940","AT2G20142_c1","AT1G66460_JC23"
"AT2G41010","AT2G20000","AT3G27560_P1","AT1G66460_JS1"
"AT1G63750","AT2G20950","AT5G52760_P1","AT1G67500_P5"
"AT3G21140","AT2G21070","AT3G11820_P1","AT1G67560_JS1"
"AT3G44630","AT2G21540","AT5G54710_P2","AT1G68920_s2"
"AT3G55470","AT2G25470","AT3G55950_P1","AT1G69420_P2"
"AT4G17900","AT2G25590","AT5G44070_P1","AT1G70100_ID17"
"AT4G23190","AT2G26590","AT2G41010_P1","AT1G70410_P2"
"AT1G24140","AT2G26980","AT5G61900.1","AT1G70410_s2"
"AT1G53430","AT2G27350","AT4G38940_P1","AT1G72250_P3"
"AT1G59590","AT2G28940","AT4G03450_P1","AT2G01480_JS2"
"AT2G39650","AT2G31530","AT4G11850_P1","AT2G01830_JC14"
"AT3G27560","AT2G31800","AT4G26400_P1","AT2G01830_JS7"
"AT1G14480","AT2G32500","AT3G09020.1","AT2G01860_s1"
"AT1G74310","AT2G33620","AT3G49530_P1","AT2G01860.1"
"AT1G62422","AT2G35350","AT1G10340_P1","AT2G02080_P4"
"AT3G48650","AT2G36120","AT3G20180_P2","AT2G04378_c1"
"AT1G18570","AT2G38185","AT1G18570_P1","AT2G04430_P2"
"AT5G54710","AT2G38960","AT3G09830_P2","AT2G13800_P3"
"AT1G23710","AT2G39380","AT5G26170_JS1","AT2G16380_c1"
"AT2G29720","AT2G40120","AT2G26190_P1","AT2G16990_P2"
"AT3G57530","AT2G41440","AT2G32140_P1","AT2G17340_c2"
"AT2G37940","AT2G41880","AT1G78410_JC1","AT2G20000_JS3"
"AT5G04550","AT2G43320","AT5G20350.1","AT2G20000_P1"
"AT5G58120","AT2G43490","AT2G39650_P1","AT2G20950_ID40"
"AT5G60800","AT2G45340","AT3G21140.1","AT2G21540_P3"
"AT1G13210","AT2G45770","AT5G41750_P2","AT2G22300_P2"
"AT4G17250","AT2G46080","AT1G59865.2","AT2G22980_P1"
"AT1G24145","AT2G47760","AT2G37940_P1","AT2G25470_P2"
"AT5G38895","AT3G01540","AT4G00700.1","AT2G25470_P3"
"AT1G72920","AT3G01930","AT2G38470_P1","AT2G25590_ID50"
"AT4G21400","AT3G01980","AT3G01290.1","AT2G26980_P4"
"AT5G61510","AT3G02070","AT3G25600_P1","AT2G28260_P1"
"AT3G16510","AT3G07300","AT3G54150_P1","AT2G31530_ID5"
"AT1G05675","AT3G07700","AT5G61510_P1","AT2G31800_P1"
"AT2G26150","AT3G07980","AT1G64610_P1","AT2G32530_JS2"
"AT5G12480","AT3G08800","AT4G21390_P1","AT2G33620_ID7"
"AT1G64610","AT3G09410","AT3G52400_P1","AT2G33620_P3"
"AT1G75020","AT3G09670","AT1G14370_P1","AT2G36120_s13"
"AT5G22530","AT3G10060","AT3G16510_P1","AT2G38185_P1"
"AT3G58490","AT3G11280","AT3G52430_P1","AT2G38185_P2"
"AT3G09020","AT3G12520","AT4G34390_P1","AT2G39380_s1"
"AT2G05940","AT3G12915","AT4G36500_P1","AT2G39380.1"
"AT1G35210","AT3G13784","AT4G38560.1","AT2G40860_c1"
"AT5G44585","AT3G14590","AT5G47910_P1","AT2G41440_P1"
"AT1G07520","AT3G15160","AT1G59870_P1","AT2G41440_s1"
"AT3G21150","AT3G15570","AT5G12480_P1","AT2G41880_P1"
"AT1G26380","AT3G16030","AT1G53440_P1","AT2G43320_c2"
"AT2G46330","AT3G16340","AT5G25260_P1","AT2G43320_P1"
"AT1G53440","AT3G16420","AT2G15390_P2","AT2G45770_s1"
"AT5G46470","AT3G18500","AT4G16890_P1","AT2G46080_JC1"
"AT2G20900","AT3G20120","AT2G26560_P1","AT2G46080_P1"
"AT5G25170","AT3G20320","AT1G67810_P1","AT2G47760_P1"
"AT1G01340","AT3G22150","AT2G20150.1","AT2G47760_P4"
"AT1G17340","AT3G22260","AT1G72940_P1","AT3G01930_P2"
"AT5G66675","AT3G25290","AT1G61360.2","AT3G01980_ID4"
"AT3G59660","AT3G25840","AT1G48640.1","AT3G01980_P1"
"AT2G39660","AT3G27000","AT4G34150.1","AT3G01980_P2"
"AT3G11820","AT3G27190","AT2G40095_P1","AT3G01980_P4"
"AT1G55450","AT3G28660","AT3G21150_P1","AT3G01980_P5"
"AT1G61360","AT3G44150","AT5G58120_P1","AT3G02070_P1"
"AT1G64065","AT3G44730","AT1G73810_P1","AT3G02170_P1"
"AT1G70530","AT3G47390","AT3G48650_c1","AT3G06290_JS21"
"AT3G04220","AT3G47940","AT5G42830_P1","AT3G06770_P2"
"AT2G01340","AT3G50430","AT1G07520.1","AT3G07300_c2"
"AT3G54100","AT3G51140","AT1G17610.1","AT3G07300.3"
"AT1G59870","AT3G51150","AT3G11840.1","AT3G07700.1"
"AT4G29440","AT3G51470","AT4G17230_P1","AT3G07700.2"
"AT5G20350","AT3G52290","AT2G16870_P1","AT3G08800_P1"
"AT4G11850","AT3G52340","AT3G57530_P1","AT3G09410_P3"
"AT5G54720","AT3G53720","AT3G19010_P4","AT3G09670.1"
"AT5G03990","AT3G53830","AT1G66250.1","AT3G09670.2"
"AT1G27100","AT3G54270","AT3G57330_P1","AT3G11280_P1"
"AT3G53810","AT3G54320","AT3G13080_P1","AT3G11280_P2"
"AT2G45910","AT3G55600","AT2G44600_P1","AT3G12550_P1"
"AT3G09830","AT3G56080","AT1G27100_P1","AT3G12915_JS1"
"AT3G48090","AT3G58490","AT1G24140_P1","AT3G12915_JS3"
"AT2G40140","AT3G59780","AT2G16500_P1","AT3G13784_P4"
"AT3G47550","AT3G60330","AT2G39660_P1","AT3G14590_P2"
"AT3G07720","AT3G63400","AT1G33600_P2","AT3G15160_ID6"
"AT5G41750","AT4G01500","AT4G33050_c1","AT3G16030_P2"
"AT3G49530","AT4G02550","AT3G16720_P1","AT3G16030_P6"
"AT4G16950","AT4G03480","AT4G12720_P1","AT3G16340_P1"
"AT3G25610","AT4G05040","AT5G03990.1","AT3G16340_P2"
"AT5G52760","AT4G08180","AT3G15518.1","AT3G18500_P3"
"AT4G08555","AT4G11470","AT1G73805.1","AT3G20410_c1"
"AT4G36500","AT4G12720","AT3G25610_P1","AT3G22150_c1"
"AT5G66640","AT4G12790","AT3G54100_P1","AT3G22260_s1"
"AT4G39830","AT4G13030","AT5G54490_P1","AT3G25290_P1"
