Line;Fresh_weight;Batch;Ratio;Line_mean;Treatment;Fresh_weight_mean;Fresh_weight_sd;Fresh_weight_se;Fresh_weight_ratio_mean;Fresh_weight_ratio_sd;Fresh_weight_ratio_se
SETI_nrgs-E2;0,0089;batch2;0,095991372;;;;;;;;
SETI_nrgs-E2;0,0084;batch2;0,090598598;;;;;;;;
SETI_nrgs;0,0962;batch2;1,037569657;;;;;;;;
SETI_nrgs;0,083;batch2;0,895200431;;;;;;;;
SETI_nrgs;0,0915;batch2;0,986877584;;;;;;;;
SETI_nrgs;0,1128;batch2;1,216609743;;;;;;;;
Col-0-E2;0,0848;batch2;0,874865667;;;;;;;;
Col-0-E2;0,0858;batch2;0,885182479;;;;;;;;
Col-0-E2;0,0833;batch2;0,859390448;;;;;;;;
Col-0-E2;0,0768;batch2;0,79233117;;;;;;;;
Col-0-E2;0,0818;batch2;0,84391523;;;;;;;;
Col-0-E2;0,0878;batch2;0,905816103;;;;;;;;
Col-0-E2;0,0689;batch2;0,710828354;;;;;;;;
Col-0;0,0996;batch2;1,027554486;;;;;;;;
Col-0;0,1132;batch2;1,16786313;;;;;;;;
Col-0;0,1024;batch2;1,05644156;;;;;;;;
Col-0;0,0968;batch2;0,998667412;;;;;;;;
Col-0;0,113;batch2;1,165799768;;;;;;;;
SETI_wt-E2;0,0054;batch3;0,062059238;;;;;;;;
SETI_wt-E2;0,0035;batch3;0,04022358;;;;;;;;
SETI_wt-E2;0,0053;batch3;0,060909993;;;;;;;;
SETI_wt-E2;0,0059;batch3;0,067805464;;;;;;;;
SETI_wt-E2;0,0046;batch3;0,052865277;;;;;;;;
SETI_wt-E2;0,0049;batch3;0,056313013;;;;;;;;
SETI_wt-E2;0,0064;batch3;0,07355169;;;;;;;;
SETI_wt;0,0882;batch3;1,013634227;;;;;;;;
SETI_wt;0,0896;batch3;1,029723659;;;;;;;;
SETI_wt;0,0752;batch3;0,864232356;;;;;;;;
SETI_wt;0,0775;batch3;0,890664995;;;;;;;;
SETI_wt;0,0789;batch3;0,906754427;;;;;;;;
SETI_wt;0,1097;batch3;1,260721935;;;;;;;;
SETI_wt;0,097;batch3;1,1147678;;;;;;;;
SETI_eds1-E2;0,0733;batch3;0,816010525;;;;;;;;
SETI_eds1-E2;0,0638;batch3;0,710251999;;;;;;;;
SETI_eds1-E2;0,0902;batch3;1,004149378;;;;;;;;
SETI_eds1-E2;0,068;batch3;0,7570084;;;;;;;;
SETI_eds1-E2;0,0756;batch3;0,841615221;;;;;;;;
SETI_eds1-E2;0,0623;batch3;0,693553284;;;;;;;;
SETI_eds1-E2;0,0603;batch3;0,671288331;;;;;;;;
SETI_eds1-E2;0,0887;batch3;0,987450663;;;;;;;;
SETI_eds1;0,1161;batch3;1,292480518;;;;;;;;
SETI_eds1;0,105;batch3;1,168910029;;;;;;;;
SETI_eds1;0,092;batch3;1,024187835;;;;;;;;
SETI_eds1;0,066;batch3;0,734743447;;;;;;;;
SETI_eds1;0,086;batch3;0,957392976;;;;;;;;
SETI_eds1;0,0807;batch3;0,898390851;;;;;;;;
SETI_eds1;0,1024;batch3;1,139965591;;;;;;;;
SETI_eds1;0,0961;batch3;1,069830989;;;;;;;;
SETI_adrs-E2;0,0159;batch3;0,175061932;;;;;;;;
SETI_adrs-E2;0,0153;batch3;0,168455822;;;;;;;;
SETI_adrs-E2;0,0189;batch3;0,208092486;;;;;;;;
SETI_adrs-E2;0,0124;batch3;0,136526287;;;;;;;;
SETI_adrs-E2;0,0157;batch3;0,172859895;;;;;;;;
SETI_adrs-E2;0,0201;batch3;0,221304707;;;;;;;;
SETI_adrs-E2;0,0156;batch3;0,171758877;;;;;;;;
SETI_adrs;0,0925;batch3;1,018442059;;;;;;;;
SETI_adrs;0,0809;batch3;0,89072392;;;;;;;;
SETI_adrs;0,0708;batch3;0,779521057;;;;;;;;
SETI_adrs;0,063;batch3;0,693641618;;;;;;;;
SETI_adrs;0,0937;batch3;1,03165428;;;;;;;;
SETI_adrs;0,0783;batch3;0,86209744;;;;;;;;
SETI_adrs;0,1179;batch3;1,298100743;;;;;;;;
SETI_helperless-E2;0,0647;batch3;0,76360203;;;;;;;;
SETI_helperless-E2;0,0583;batch3;0,688067981;;;;;;;;
SETI_helperless-E2;0,0627;batch3;0,73999764;;;;;;;;
SETI_helperless-E2;0,0753;batch3;0,888705299;;;;;;;;
SETI_helperless-E2;0,05;batch3;0,59010976;;;;;;;;
SETI_helperless-E2;0,078;batch3;0,920571226;;;;;;;;
SETI_helperless;0,0821;batch3;0,968960227;;;;;;;;
SETI_helperless;0,0927;batch3;1,094063496;;;;;;;;
SETI_helperless;0,0714;batch3;0,842676738;;;;;;;;
SETI_helperless;0,0853;batch3;1,006727251;;;;;;;;
SETI_helperless;0,0823;batch3;0,971320666;;;;;;;;
SETI_helperless;0,0784;batch3;0,925292104;;;;;;;;
SETI_helperless;0,088;batch3;1,038593178;;;;;;;;
SETI_nrgs-E2;0,0058;batch3;0,062556175;;;;;;;;
SETI_nrgs-E2;0,0055;batch3;0,059320511;;;;;;;;
SETI_nrgs-E2;0,0054;batch3;0,058241956;;;;;;;;
SETI_nrgs-E2;0,0048;batch3;0,051770627;;;;;;;;
SETI_nrgs-E2;0,0051;batch3;0,055006292;;;;;;;;
SETI_nrgs-E2;0,006;batch3;0,064713284;;;;;;;;
SETI_nrgs-E2;0,0035;batch3;0,037749416;;;;;;;;
SETI_nrgs;0,102;batch3;1,100125831;;;;;;;;
SETI_nrgs;0,0973;batch3;1,049433759;;;;;;;;
SETI_nrgs;0,0915;batch3;0,986877584;;;;;;;;
SETI_nrgs;0,0882;batch3;0,951285278;;;;;;;;
SETI_nrgs;0,1056;batch3;1,138953802;;;;;;;;
Col-0-E2;0,0725;batch3;0,747968878;;;;;;;;
Col-0-E2;0,0631;batch3;0,650990844;;;;;;;;
Col-0-E2;0,0728;batch3;0,751063921;;;;;;;;
Col-0-E2;0,0972;batch3;1,002794137;;;;;;;;
Col-0-E2;0,063;batch3;0,649959163;;;;;;;;
Col-0-E2;0,0566;batch3;0,583931565;;;;;;;;
Col-0-E2;0,0753;batch3;0,776855952;;;;;;;;
Col-0-E2;0,0814;batch3;0,839788505;;;;;;;;
Col-0-E2;0,0689;batch3;0,710828354;;;;;;;;
Col-0-E2;0,0509;batch3;0,525125736;;;;;;;;
Col-0;0,1041;batch3;1,07398014;;;;;;;;
Col-0;0,088;batch3;0,907879465;;;;;;;;
Col-0;0,0975;batch3;1,00588918;;;;;;;;
Col-0;0,1065;batch3;1,098740489;;;;;;;;
Col-0;0,1109;batch3;1,144134462;;;;;;;;
Col-0;0,0961;batch3;0,991445643;;;;;;;;
Col-0;0,1092;batch3;1,126595882;;;;;;;;
Col-0;0,1041;batch3;1,07398014;;;;;;;;
SETI_wt-E2;0,0066;batch4;0,07585018;;;;;;;;
SETI_wt-E2;0,0044;batch4;0,050566787;;;;;;;;
SETI_wt-E2;0,0043;batch4;0,049417542;;;;;;;;
SETI_wt-E2;0,0047;batch4;0,054014522;;;;;;;;
SETI_wt-E2;0,0049;batch4;0,056313013;;;;;;;;
SETI_wt-E2;0,007;batch4;0,080447161;;;;;;;;
SETI_wt-E2;0,0042;batch4;0,048268297;;;;;;;;
SETI_wt-E2;0,0045;batch4;0,051716032;;;;;;;;
SETI_wt-E2;0,004;batch4;0,045969806;;;;;;;;
SETI_wt;0,0856;batch4;0,983753853;;;;;;;;
SETI_wt;0,0896;batch4;1,029723659;;;;;;;;
SETI_wt;0,0813;batch4;0,934336311;;;;;;;;
SETI_wt;0,1012;batch4;1,163036097;;;;;;;;
