Line;Fresh_weight;Batch
Col-0-E2;0,0814;batch3
Col-0-E2;0,0689;batch3
Col-0-E2;0,0509;batch3
Col-0;0,1041;batch3
Col-0;0,088;batch3
Col-0;0,0975;batch3
Col-0;0,1065;batch3
Col-0;0,1109;batch3
Col-0;0,0961;batch3
Col-0;0,1092;batch3
Col-0;0,1041;batch3
SETI_wt-E2;0,0066;batch4
SETI_wt-E2;0,0044;batch4
SETI_wt-E2;0,0043;batch4
SETI_wt-E2;0,0047;batch4
SETI_wt-E2;0,0049;batch4
SETI_wt-E2;0,007;batch4
SETI_wt-E2;0,0042;batch4
SETI_wt-E2;0,0045;batch4
SETI_wt-E2;0,004;batch4
SETI_wt;0,0856;batch4
SETI_wt;0,0896;batch4
SETI_wt;0,0813;batch4
SETI_wt;0,1012;batch4
SETI_wt;0,0984;batch4
SETI_wt;0,1046;batch4
SETI_wt;0,0897;batch4
SETI_eds1-E2;0,0941;batch4
SETI_eds1-E2;0,1043;batch4
SETI_eds1-E2;0,088;batch4
SETI_eds1-E2;0,0712;batch4
SETI_eds1-E2;0,0475;batch4
SETI_eds1-E2;0,0898;batch4
SETI_eds1-E2;0,0842;batch4
SETI_eds1-E2;0,0733;batch4
SETI_eds1-E2;0,0768;batch4
SETI_eds1;0,0886;batch4
SETI_eds1;0,1038;batch4
SETI_eds1;0,0818;batch4
SETI_eds1;0,0623;batch4
SETI_eds1;0,1186;batch4
SETI_eds1;0,0913;batch4
SETI_adrs-E2;0,0137;batch4
SETI_adrs-E2;0,0155;batch4
SETI_adrs-E2;0,0178;batch4
SETI_adrs-E2;0,0158;batch4
SETI_adrs-E2;0,0147;batch4
SETI_adrs-E2;0,0216;batch4
SETI_adrs-E2;0,0135;batch4
SETI_adrs-E2;0,0232;batch4
SETI_adrs;0,1001;batch4
SETI_adrs;0,1001;batch4
SETI_adrs;0,0845;batch4
SETI_adrs;0,0919;batch4
SETI_adrs;0,0814;batch4
SETI_adrs;0,1278;batch4
SETI_helperless-E2;0,0948;batch4
SETI_helperless-E2;0,0782;batch4
SETI_helperless-E2;0,0822;batch4
SETI_helperless-E2;0,0682;batch4
SETI_helperless-E2;0,1137;batch4
SETI_helperless-E2;0,0828;batch4
SETI_helperless-E2;0,0596;batch4
SETI_helperless;0,0924;batch4
SETI_helperless;0,0894;batch4
SETI_helperless;0,0845;batch4
SETI_helperless;0,0919;batch4
SETI_helperless;0,0814;batch4
SETI_helperless;0,1278;batch4
SETI_nrgs-E2;0,0052;batch4
SETI_nrgs-E2;0,0055;batch4
SETI_nrgs-E2;0,0048;batch4
SETI_nrgs-E2;0,0033;batch4
SETI_nrgs-E2;0,0056;batch4
SETI_nrgs-E2;0,0039;batch4
SETI_nrgs-E2;0,0055;batch4
SETI_nrgs-E2;0,0038;batch4
SETI_nrgs;0,0863;batch4
SETI_nrgs;0,0952;batch4
SETI_nrgs;0,0873;batch4
SETI_nrgs;0,0862;batch4
SETI_nrgs;0,101;batch4
SETI_nrgs;0,1105;batch4
Col-0-E2;0,0932;batch4
Col-0-E2;0,0924;batch4
Col-0-E2;0,072;batch4
Col-0-E2;0,0816;batch4
Col-0-E2;0,1001;batch4
Col-0-E2;0,0754;batch4
Col-0-E2;0,1036;batch4
Col-0-E2;0,0685;batch4
Col-0-E2;0,0829;batch4
Col-0-E2;0,0822;batch4
Col-0;0,0829;batch4
Col-0;0,0963;batch4
Col-0;0,0852;batch4
Col-0;0,0835;batch4
Col-0;0,1023;batch4
Col-0;0,1194;batch4
Col-0;0,0925;batch4
Col-0;0,1205;batch4
