"";"Genes"
"1151";"AT4G20140"
"1152";"AT3G53230"
"1153";"AT2G21910"
"1154";"AT1G70920"
"1155";"AT2G47520"
"1156";"AT4G25120"
"1157";"AT1G17240"
"1158";"AT4G00305"
"1159";"AT5G20400"
"1160";"AT5G40590"
"1161";"AT5G04270"
"1162";"AT5G18170"
"1163";"AT4G15610"
"1164";"AT5G64790"
"1165";"AT3G48450"
"1166";"AT4G03510"
"1167";"AT1G22810"
"1168";"AT2G42480"
"1169";"AT3G22240"
"1170";"AT4G37400"
"1171";"AT5G01040"
"1172";"AT2G44910"
"1173";"AT4G13505"
"1174";"AT2G30010"
"1175";"AT1G09460"
"1176";"AT1G53140"
"1177";"AT1G06135"
"1178";"AT5G28646"
"1179";"AT2G38500"
"1180";"AT5G01700"
"1181";"AT1G22985"
"1182";"AT2G30040"
"1183";"AT3G49620"
"1184";"AT5G60530"
"1185";"AT4G27070"
"1186";"AT5G05180"
"1187";"AT1G13360"
"1188";"AT4G03320"
"1189";"AT5G43660"
"1190";"AT1G02390"
"1191";"AT1G61390"
"1192";"AT1G29860"
"1193";"AT3G19050"
"1194";"AT3G25490"
"1195";"AT4G15530"
"1196";"AT4G37610"
"1197";"AT5G18270"
"1198";"AT4G25434"
"1199";"AT3G12860"
"1200";"AT5G59490"
"1201";"AT1G06140"
"1202";"AT1G78000"
"1203";"AT1G70990"
"1204";"AT1G44150"
"1205";"AT4G33420"
"1206";"AT4G18170"
"1207";"AT5G16230"
"1208";"AT5G64700"
"1209";"AT1G67070"
"1210";"AT3G09680"
"1211";"AT2G04490"
"1212";"AT1G80300"
"1213";"AT5G20225"
"1214";"AT1G74810"
"1215";"AT2G37440"
"1216";"AT1G55240"
"1217";"AT3G01760"
"1218";"AT1G18382"
"1219";"AT3G27330"
"1220";"AT3G49130"
"1221";"AT3G49790"
"1222";"AT3G08630"
"1223";"AT3G62570"
"1224";"AT1G44160"
"1225";"AT4G28380"
"1226";"AT2G30770"
"1227";"AT5G43890"
"1228";"AT3G26200"
"1229";"AT5G52790"
"1230";"AT3G18950"
"1231";"AT1G12790"
"1232";"AT1G14550"
"1233";"AT4G34400"
"1234";"AT1G69150"
"1235";"AT3G22310"
"1236";"AT5G19880"
"1237";"AT4G15236"
"1238";"AT2G20720"
"1239";"AT4G11543"
"1240";"AT3G30120"
"1241";"AT5G28630"
