"";"Genes"
"267";"AT5G01710"
"268";"AT1G49950"
"269";"AT2G39840"
"270";"AT5G46350"
"271";"AT2G32210"
"272";"AT3G57740"
"273";"AT3G61800"
"274";"AT3G25900"
"275";"AT5G22480"
"276";"AT5G39360"
"277";"AT5G45410"
"278";"AT1G15920"
"279";"AT3G23300"
"280";"AT4G26200"
"281";"AT1G28680"
"282";"AT2G01100"
"283";"AT5G23130"
"284";"AT2G40890"
"285";"AT2G22475"
"286";"AT4G02740"
"287";"AT1G16240"
"288";"AT1G23170"
"289";"AT1G51930"
"290";"AT2G47510"
"291";"AT5G55560"
"292";"AT4G37520"
"293";"AT3G07040"
"294";"AT5G10820"
"295";"AT5G58730"
"296";"AT2G46530"
"297";"AT2G47650"
"298";"AT3G53440"
"299";"AT4G21540"
"300";"AT5G17770"
"301";"AT4G23290"
"302";"AT1G53165"
"303";"AT2G43120"
"304";"AT4G24230"
"305";"AT3G05670"
"306";"AT5G02100"
"307";"AT1G09640"
"308";"AT3G53000"
"309";"AT5G16880"
"310";"AT5G03610"
"311";"AT5G50200"
"312";"AT5G67440"
"313";"AT1G61790"
"314";"AT1G57620"
"315";"AT1G33610"
"316";"AT4G26940"
"317";"AT2G44410"
"318";"AT5G35080"
"319";"AT1G29060"
"320";"AT3G09370"
"321";"AT1G17270"
"322";"AT3G12570"
"323";"AT4G31920"
"324";"AT3G01970"
"325";"AT3G19660"
"326";"AT3G15060"
"327";"AT2G46150"
"328";"AT3G46290"
"329";"AT5G13160"
"330";"AT3G03870"
"331";"AT1G14170"
"332";"AT3G23530"
"333";"AT1G03260"
"334";"AT5G64100"
"335";"AT1G66230"
"336";"AT1G61400"
"337";"AT2G17730"
"338";"AT5G65120"
"339";"AT2G30500"
"340";"AT5G01450"
"341";"AT2G46260"
"342";"AT1G21320"
"343";"AT1G74000"
"344";"AT2G47470"
"345";"AT5G02270"
"346";"AT4G24310"
"347";"AT1G33390"
"348";"AT2G41110"
"349";"AT1G58807"
"350";"AT2G03505"
"351";"AT1G18290"
"352";"AT5G15640"
"353";"AT2G45290"
"354";"AT1G76930"
"355";"AT3G02880"
"356";"AT2G27210"
"357";"AT5G17350"
"358";"AT5G23000"
"359";"AT5G19290"
"360";"AT3G12030"
"361";"AT1G29970"
"362";"AT2G36220"
"363";"AT1G13350"
"364";"AT1G06550"
"365";"AT2G27260"
"366";"AT4G03960"
"367";"AT2G16595"
"368";"AT5G12430"
"369";"AT5G64240"
"370";"AT5G54500"
"371";"AT5G17330"
"372";"AT5G47580"
"373";"AT1G02500"
"374";"AT5G67640"
"375";"AT5G39970"
"376";"AT2G32200"
"377";"AT4G32285"
"378";"AT4G34050"
"379";"AT2G30490"
"380";"AT2G41490"
