"";"Genes"
"267";"AT3G03020"
"268";"AT5G21990"
"269";"AT2G37975"
"270";"AT3G02190"
"271";"AT2G27490"
"272";"AT5G57060"
"273";"AT4G39050"
"274";"AT2G01640"
"275";"AT1G62020"
"276";"AT5G42350"
"277";"AT1G63160"
"278";"AT2G22690"
"279";"AT3G61810"
"280";"AT2G36850"
"281";"AT2G47880"
"282";"AT3G13230"
"283";"AT4G35170"
"284";"AT2G16050"
"285";"AT4G25672"
"286";"AT2G25650"
"287";"AT3G01780"
"288";"AT4G07820"
"289";"AT1G67570"
"290";"AT4G28340"
"291";"AT1G21390"
"292";"AT1G64563"
"293";"AT2G34960"
"294";"AT4G25640"
"295";"AT3G48210"
"296";"AT3G12700"
"297";"AT5G66540"
"298";"AT4G19006"
"299";"AT1G18200"
"300";"AT3G59290"
"301";"AT5G57000"
"302";"AT4G19880"
"303";"AT1G65520"
"304";"AT1G05760"
"305";"AT5G59070"
"306";"AT3G03030"
"307";"AT5G66690"
"308";"AT5G59680"
"309";"AT4G31790"
"310";"AT4G02880"
"311";"AT5G06570"
"312";"AT1G23730"
"313";"AT1G53920"
"314";"AT5G18810"
"315";"AT3G09270"
"316";"AT3G13940"
"317";"AT3G15352"
"318";"AT5G46250"
"319";"AT5G13150"
"320";"AT5G37770"
"321";"AT1G12500"
"322";"AT5G07740"
"323";"AT2G40160"
"324";"AT2G31340"
"325";"AT1G78770"
"326";"AT1G48280"
"327";"AT1G61410"
"328";"AT3G16330"
"329";"AT5G47740"
"330";"AT4G30870"
"331";"AT5G60790"
"332";"AT4G24140"
"333";"AT5G51830"
"334";"AT1G21670"
"335";"AT4G10960"
"336";"AT4G13320"
"337";"AT2G22310"
"338";"AT2G02480"
"339";"AT2G13960"
"340";"AT2G44890"
"341";"AT5G27000"
"342";"AT4G31000"
"343";"AT1G29520"
"344";"AT3G17611"
"345";"AT5G56970"
"346";"AT2G17480"
"347";"AT1G69610"
"348";"AT3G16730"
"349";"AT3G57380"
"350";"AT1G18210"
"351";"AT3G46385"
"352";"AT2G31270"
"353";"AT1G32930"
"354";"AT4G34131"
"355";"AT4G17215"
"356";"AT1G10070"
"357";"AT1G71830"
"358";"AT1G20970"
"359";"AT5G37540"
"360";"AT4G24040"
"361";"ATCG00810"
"362";"AT1G21326"
"363";"AT1G63440"
"364";"AT2G36695"
"365";"AT3G01040"
"366";"AT1G50180"
"367";"AT3G13910"
"368";"AT3G20898"
"369";"AT5G55930"
"370";"AT1G02690"
"371";"AT1G68630"
"372";"AT4G22590"
"373";"AT5G64750"
"374";"AT3G26340"
"375";"AT5G38650"
"376";"AT1G02650"
"377";"AT1G66580"
"378";"AT2G29640"
"379";"AT1G78310"
"380";"AT4G37770"
"381";"AT1G11340"
"382";"AT1G69526"
"383";"AT5G63850"
"384";"AT5G06860"
"385";"AT2G36270"
"386";"AT4G12450"
"387";"AT1G78280"
"388";"AT2G12740"
"389";"AT1G32950"
"390";"AT3G50910"
"391";"AT2G44390"
"392";"AT4G16540"
"393";"AT2G29470"
"394";"AT3G54030"
"395";"AT3G24780"
"396";"AT1G13260"
"397";"AT3G14850"
"398";"AT2G21350"
"399";"AT1G09420"
"400";"AT3G21351"
"401";"AT3G18830"
"402";"AT2G33780"
"403";"AT1G18940"
"404";"AT1G02430"
"405";"AT5G60630"
"406";"AT3G63430"
"407";"AT5G11090"
"408";"AT4G30490"
"409";"AT2G32720"
"410";"AT5G61880"
"411";"AT3G13210"
"412";"AT1G56470"
"413";"AT1G53490"
"414";"AT1G16160"
"415";"AT1G76680"
"416";"AT3G10340"
"417";"AT1G29715"
"418";"AT5G37010"
"419";"AT1G71530"
"420";"AT1G04540"
"421";"AT5G63970"
"422";"AT2G47000"
"423";"AT3G03060"
"424";"AT1G17640"
"425";"AT5G06330"
"426";"AT3G49200"
"427";"AT3G55820"
"428";"AT2G44130"
"429";"AT5G24800"
"430";"AT3G51910"
"431";"AT5G20970"
"432";"AT2G23170"
"433";"AT4G05050"
"434";"AT5G15890"
"435";"AT1G71520"
"436";"AT2G03500"
"437";"AT5G02570"
"438";"AT1G50400"
"439";"AT1G23200"
"440";"AT5G33303"
"441";"AT5G49700"
"442";"AT5G07440"
"443";"AT1G66930"
"444";"AT5G01250"
"445";"AT2G26310"
"446";"AT3G61300"
"447";"AT3G17770"
"448";"AT2G02870"
"449";"AT2G22470"
"450";"AT5G64310"
"451";"AT5G13090"
"452";"AT5G36920"
"453";"AT2G05632"
"454";"AT5G44567"
"455";"AT4G13920"
"456";"AT2G35730"
"457";"AT5G39820"
"458";"AT1G15670"
"459";"AT2G38310"
"460";"AT5G39090"
"461";"AT2G34500"
"462";"AT3G04300"
"463";"AT1G04370"
"464";"AT5G07070"
"465";"AT1G79960"
"466";"AT5G33382"
