Sample;ion leakage;Batch
SETIpad4(m)_2h_6;10;A1
SETIpad4(m)_4h_1;11;A1
SETIpad4(m)_4h_2;13;A1
SETIpad4(m)_4h_3;11;A1
SETIpad4(m)_4h_4;11;A1
SETIpad4(m)_4h_5;10;A1
SETIpad4(m)_4h_6;11;A1
SETIpad4(m)_6h_1;12;A1
SETIpad4(m)_6h_2;13;A1
SETIpad4(m)_6h_3;11;A1
SETIpad4(m)_6h_4;12;A1
SETIpad4(m)_6h_5;11;A1
SETIpad4(m)_6h_6;11;A1
SETIpad4(m)_8h_1;12;A1
SETIpad4(m)_8h_2;13;A1
SETIpad4(m)_8h_3;12;A1
SETIpad4(m)_8h_4;12;A1
SETIpad4(m)_8h_5;12;A1
SETIpad4(m)_8h_6;12;A1
SETIpad4(m)_22h_1;13;A1
SETIpad4(m)_22h_2;15;A1
SETIpad4(m)_22h_3;13;A1
SETIpad4(m)_22h_4;14;A1
SETIpad4(m)_22h_5;13;A1
SETIpad4(m)_22h_6;13;A1
SETIpad4(m)_24h_1;13;A1
SETIpad4(m)_24h_2;15;A1
SETIpad4(m)_24h_3;13;A1
SETIpad4(m)_24h_4;14;A1
SETIpad4(m)_24h_5;13;A1
SETIpad4(m)_24h_6;13;A1
SETIpad4(E)_0h_1;12;A1
SETIpad4(E)_0h_2;11;A1
SETIpad4(E)_0h_3;9;A1
SETIpad4(E)_0h_4;11;A1
SETIpad4(E)_0h_5;13;A1
SETIpad4(E)_0h_6;10;A1
SETIpad4(E)_2h_1;19;A1
SETIpad4(E)_2h_2;13;A1
SETIpad4(E)_2h_3;11;A1
SETIpad4(E)_2h_4;11;A1
SETIpad4(E)_2h_5;17;A1
SETIpad4(E)_2h_6;18;A1
SETIpad4(E)_4h_1;22;A1
SETIpad4(E)_4h_2;17;A1
SETIpad4(E)_4h_3;12;A1
SETIpad4(E)_4h_4;12;A1
SETIpad4(E)_4h_5;19;A1
SETIpad4(E)_4h_6;23;A1
SETIpad4(E)_6h_1;24;A1
SETIpad4(E)_6h_2;19;A1
SETIpad4(E)_6h_3;14;A1
SETIpad4(E)_6h_4;14;A1
SETIpad4(E)_6h_5;22;A1
SETIpad4(E)_6h_6;24;A1
SETIpad4(E)_8h_1;25;A1
SETIpad4(E)_8h_2;19;A1
SETIpad4(E)_8h_3;15;A1
SETIpad4(E)_8h_4;14;A1
SETIpad4(E)_8h_5;23;A1
SETIpad4(E)_8h_6;25;A1
SETIpad4(E)_22h_1;26;A1
SETIpad4(E)_22h_2;23;A1
SETIpad4(E)_22h_3;17;A1
SETIpad4(E)_22h_4;16;A1
SETIpad4(E)_22h_5;25;A1
SETIpad4(E)_22h_6;26;A1
SETIpad4(E)_24h_1;26;A1
SETIpad4(E)_24h_2;23;A1
SETIpad4(E)_24h_3;17;A1
SETIpad4(E)_24h_4;16;A1
SETIpad4(E)_24h_5;25;A1
SETIpad4(E)_24h_6;26;A1
SETIeds1(m)_0h_1;13;A1
SETIeds1(m)_0h_2;9;A1
SETIeds1(m)_0h_3;9;A1
SETIeds1(m)_0h_4;9;A1
SETIeds1(m)_0h_5;9;A1
SETIeds1(m)_0h_6;9;A1
SETIeds1(m)_2h_1;15;A1
SETIeds1(m)_2h_2;9;A1
SETIeds1(m)_2h_3;10;A1
SETIeds1(m)_2h_4;12;A1
