"";"Genes"
"1151";"AT4G02890"
"1152";"AT5G11210"
"1153";"AT5G04340"
"1154";"AT2G40000"
"1155";"AT3G13437"
"1156";"AT5G57510"
"1157";"AT1G32960"
"1158";"AT1G69900"
"1159";"AT2G35658"
"1160";"AT4G10040"
"1161";"AT5G18400"
"1162";"AT5G64890"
"1163";"AT5G52740"
"1164";"AT3G56470"
"1165";"AT3G05380"
"1166";"AT4G11670"
"1167";"AT4G13395"
"1168";"AT5G25940"
"1169";"AT2G29410"
"1170";"AT5G02500"
"1171";"AT1G30900"
"1172";"AT2G38490"
"1173";"AT5G13200"
"1174";"AT5G57480"
"1175";"AT1G47210"
"1176";"AT2G43000"
"1177";"AT1G79245"
"1178";"AT4G20380"
"1179";"AT1G63820"
"1180";"AT4G28350"
"1181";"AT3G49540"
"1182";"AT2G17530"
"1183";"AT1G07620"
"1184";"AT4G12070"
"1185";"AT5G59420"
"1186";"AT5G52800"
"1187";"AT5G48410"
"1188";"AT4G26470"
"1189";"AT1G55365"
"1190";"AT4G16600"
"1191";"AT1G25220"
"1192";"AT5G25440"
"1193";"AT2G43160"
"1194";"AT2G23330"
"1195";"AT1G67850"
"1196";"AT3G03750"
"1197";"AT5G11970"
"1198";"AT2G36330"
"1199";"AT5G62865"
"1200";"AT1G61415"
"1201";"AT2G30020"
"1202";"AT4G31500"
"1203";"AT4G35110"
"1204";"AT5G62560"
"1205";"AT3G63380"
"1206";"AT3G26440"
"1207";"AT4G12250"
"1208";"AT2G30250"
"1209";"AT1G76130"
"1210";"AT2G44790"
"1211";"AT4G23850"
"1212";"AT1G34180"
"1213";"AT4G23170"
"1214";"AT5G01100"
"1215";"AT5G40180"
"1216";"AT2G44280"
"1217";"AT3G24503"
"1218";"AT5G15470"
"1219";"AT4G20000"
"1220";"AT1G69920"
"1221";"AT1G08940"
"1222";"AT4G24015"
"1223";"AT2G39530"
"1224";"AT1G22870"
"1225";"AT5G66630"
"1226";"AT1G34260"
"1227";"AT4G11890"
"1228";"AT2G33710"
"1229";"AT3G13050"
"1230";"AT5G48970"
"1231";"AT2G33120"
"1232";"AT3G25882"
"1233";"AT2G45220"
"1234";"AT1G10417"
"1235";"AT1G26130"
"1236";"AT1G74340"
"1237";"AT4G39380"
"1238";"AT4G15420"
"1239";"AT1G70520"
"1240";"AT2G35970"
"1241";"AT5G12340"
"1242";"AT3G02360"
"1243";"AT3G09840"
"1244";"AT3G49110"
"1245";"AT2G34650"
"1246";"AT2G28210"
"1247";"AT4G32020"
"1248";"AT2G39210"
"1249";"AT1G21450"
"1250";"AT3G60680"
"1251";"AT5G45710"
"1252";"AT2G45300"
"1253";"AT3G05320"
"1254";"AT1G05880"
"1255";"AT3G12040"
"1256";"AT4G21865"
"1257";"AT4G24110"
"1258";"AT4G16820"
"1259";"AT1G57640"
"1260";"AT3G46080"
"1261";"AT3G51890"
"1262";"AT1G25400"
"1263";"AT2G39518"
"1264";"AT4G18950"
"1265";"AT1G57700"
"1266";"AT1G70170"
"1267";"AT5G23160"
"1268";"AT2G33110"
"1269";"AT3G47780"
"1270";"AT1G70420"
"1271";"AT1G07160"
"1272";"AT5G22270"
"1273";"AT2G42350"
"1274";"AT3G10985"
"1275";"AT4G11860"
"1276";"AT4G13890"
"1277";"AT1G03850"
"1278";"AT1G07630"
"1279";"AT2G29100"
"1280";"AT2G30720"
"1281";"AT1G80450"
"1282";"AT1G30850"
"1283";"AT1G68340"
"1284";"AT3G05580"
"1285";"AT5G14310"
"1286";"AT1G06050"
"1287";"AT1G17060"
"1288";"AT5G54140"
"1289";"AT2G25460"
"1290";"AT4G00240"
"1291";"AT2G37710"
"1292";"AT4G35940"
"1293";"AT3G53830"
"1294";"AT1G03060"
"1295";"AT5G44820"
"1296";"AT3G05370"
"1297";"AT4G14368"
"1298";"AT1G15780"
"1299";"AT1G20460"
"1300";"AT4G01575"
"1301";"AT5G16830"
"1302";"AT3G13900"
"1303";"AT2G32240"
"1304";"AT5G22690"
"1305";"AT5G25920"
"1306";"AT4G16780"
"1307";"AT1G75170"
"1308";"AT1G51420"
"1309";"AT5G01730"
"1310";"AT3G21230"
"1311";"AT1G22400"
"1312";"AT1G62305"
"1313";"AT1G47480"
"1314";"AT4G01540"
"1315";"AT1G68390"
"1316";"AT1G32350"
"1317";"AT5G05240"
"1318";"AT3G15356"
"1319";"AT1G61490"
"1320";"AT4G16480"
"1321";"AT1G70690"
"1322";"AT2G24285"
"1323";"AT3G05360"
"1324";"AT1G54215"
"1325";"AT3G57120"
"1326";"AT5G42940"
"1327";"AT5G64990"
"1328";"AT5G43170"
"1329";"AT1G54130"
"1330";"AT3G28210"
"1331";"AT3G20510"
"1332";"AT5G19230"
"1333";"AT1G71697"
"1334";"AT2G22880"
"1335";"AT2G37970"
"1336";"AT1G48605"
"1337";"AT2G16720"
"1338";"AT3G11080"
"1339";"AT1G66700"
"1340";"AT5G02320"
"1341";"AT2G18210"
"1342";"AT3G16530"
"1343";"AT3G24630"
"1344";"AT1G28390"
"1345";"AT2G31945"
"1346";"AT2G37040"
"1347";"AT3G50900"
"1348";"AT1G59820"
"1349";"AT5G45750"
"1350";"AT4G24580"
"1351";"AT1G65240"
"1352";"AT3G46690"
"1353";"AT5G14730"
"1354";"AT1G56130"
"1355";"AT5G45090"
"1356";"AT1G67980"
"1357";"AT5G24760"
"1358";"AT1G10990"
"1359";"AT2G41420"
"1360";"AT1G03905"
"1361";"AT4G35180"
"1362";"AT1G09930"
"1363";"AT5G45280"
"1364";"AT2G14290"
"1365";"AT5G41990"
"1366";"AT5G65609"
"1367";"AT2G29750"
"1368";"AT5G67540"
"1369";"AT4G28550"
"1370";"AT2G24570"
"1371";"AT5G38212"
"1372";"AT4G32870"
"1373";"AT3G04710"
"1374";"AT4G40020"
"1375";"AT3G57700"
"1376";"AT3G47050"
"1377";"AT5G40760"
"1378";"AT1G07130"
"1379";"AT1G14640"
"1380";"AT1G44130"
"1381";"AT1G02930"
"1382";"AT1G16640"
"1383";"AT5G59730"
"1384";"AT3G03970"
"1385";"AT4G39610"
"1386";"AT1G33950"
"1387";"AT1G19180"
"1388";"AT3G48890"
