"target","contrast","adj.pval","maxdeltaPS","log2FC","up.down"
"AT1G01550","SETI_e.P-SETI_e.mock",4.84422725120892e-06,0.470602564557862,2.06163299656237,"up-regulated"
"AT1G01550","SETI_e.PE-SETI_e.mock",0.000134022584749875,0.412021990365132,1.99163329869451,"up-regulated"
"AT1G01550","SETI_p.P-SETI_p.mock",1.72395845242536e-05,0.454133442469471,1.86789053551672,"up-regulated"
"AT1G01550","SETI_p.PE-SETI_p.mock",3.07443819616905e-05,0.45468605145263,1.87504909475738,"up-regulated"
"AT1G01550","SETI_ps.P-SETI_ps.mock",1.8694681015e-05,0.453449858135247,1.87605709540298,"up-regulated"
"AT1G01550","SETI_ps.PE-SETI_ps.mock",2.81892702122556e-06,0.513951241732835,1.98159636710553,"up-regulated"
"AT1G01550","SETI_s.E-SETI_s.mock",0.00201707484044843,0.413577551266181,1.41352466247603,"up-regulated"
"AT1G01550","SETI_s.P-SETI_s.mock",3.48438812466685e-05,0.462333059265638,1.88909527941725,"up-regulated"
"AT1G01550","SETI_s.PE-SETI_s.mock",0.00242203775615791,0.374129115934814,1.74047821978134,"up-regulated"
"AT1G01550","SETI_WT.E-SETI_WT.mock",0.00142374774209629,0.373817463313279,1.31537980341593,"up-regulated"
"AT1G01550","SETI_WT.P-SETI_WT.mock",0.00252293351573991,0.343381610602394,1.54008756844117,"up-regulated"
"AT1G01550","SETI_WT.PE-SETI_WT.mock",0.00441461988991365,-0.366313083863557,1.41634057993603,"up-regulated"
"AT1G01690","SETI_WT.E-SETI_WT.mock",0.00997204959714847,0.368793772192439,2.55313780469452,"up-regulated"
"AT1G02100","SETI_p.PE-SETI_p.mock",0.00175604599236215,0.180020846466825,1.36218287720101,"up-regulated"
"AT1G02280","SETI_s.PE-SETI_s.mock",0.000518371424190875,0.176740236936087,-1.42699952479507,"down-regulated"
"AT1G02350","SETI_WT.P-SETI_WT.mock",0.00715840413804169,-0.804391706060032,-2.55368787192152,"down-regulated"
"AT1G02520","SETI_p.PE-SETI_p.mock",0.00425067552555191,1,5.18242448484968,"up-regulated"
"AT1G02520","SETI_ps.P-SETI_ps.mock",0.00753863546257191,1,3.21803641439001,"up-regulated"
"AT1G02520","SETI_s.P-SETI_s.mock",0.00321889878339461,1,3.2219809945141,"up-regulated"
"AT1G02990","SETI_e.PE-SETI_e.mock",0.00293065687271143,0.139225007134456,1.12552630491382,"up-regulated"
"AT1G03000","SETI_s.E-SETI_s.mock",0.00437278181341444,-0.36562889828325,-0.870153690059183,"down-regulated"
"AT1G03830","SETI_ps.P-SETI_ps.mock",0.00258297916372713,-0.795545580013436,-1.90258414419319,"down-regulated"
"AT1G04080","SETI_ps.P-SETI_ps.mock",0.00333120842640717,0.192238264012444,0.467284820550026,"up-regulated"
"AT1G04080","SETI_ps.PE-SETI_ps.mock",2.14981560051227e-05,0.206329869128805,0.598533466047478,"up-regulated"
"AT1G04080","SETI_WT.P-SETI_WT.mock",0.000104876318670499,0.242307013377873,0.4463613763722,"up-regulated"
"AT1G04080","SETI_WT.PE-SETI_WT.mock",0.00917729679755841,0.19003226036907,0.466025003423675,"up-regulated"
"AT1G04160","SETI_s.P-SETI_s.mock",0.00749281543269551,0.262920824502407,0.778748120915558,"up-regulated"
"AT1G04620","SETI_e.PE-SETI_e.mock",0.00475361430030522,-0.344609618579012,-1.89297651239964,"down-regulated"
"AT1G04620","SETI_s.PE-SETI_s.mock",0.00447362726623062,0.352002126827977,-1.97941551293969,"down-regulated"
"AT1G04700","SETI_e.P-SETI_e.mock",0.00277676648734021,1,2.01451032318252,"up-regulated"
"AT1G04810","SETI_s.P-SETI_s.mock",0.000531364878788439,0.126216720332095,0.647414843967268,"up-regulated"
"AT1G04810","SETI_s.PE-SETI_s.mock",0.000787013825337852,0.126216720332095,0.367567140724373,"up-regulated"
"AT1G04830","SETI_p.PE-SETI_p.mock",0.00836760153749502,-0.45076294829705,0.453925011313594,"up-regulated"
"AT1G04830","SETI_ps.P-SETI_ps.mock",0.00785449657620957,0.265027818219679,0.136891945958475,"up-regulated"
"AT1G04990","SETI_p.P-SETI_p.mock",1.75162112103572e-07,-0.613774211672328,-0.947353270751936,"down-regulated"
"AT1G05120","SETI_p.PE-SETI_p.mock",0.00976446631134405,-0.242113785708517,1.00011347532306,"up-regulated"
"AT1G05200","SETI_e.PE-SETI_e.mock",0.00227885690151651,-0.119178465332125,-0.981581921793085,"down-regulated"
"AT1G05230","SETI_s.P-SETI_s.mock",0.00412882353676226,0.662890416842965,-0.639467343640998,"down-regulated"
"AT1G05710","SETI_p.P-SETI_p.mock",3.18280879849998e-06,-0.713183469235093,2.37200787440639,"up-regulated"
"AT1G05710","SETI_ps.P-SETI_ps.mock",0.00298989939773804,-0.467114178685683,1.778945828186,"up-regulated"
"AT1G05750","SETI_p.P-SETI_p.mock",0.00680076479184715,-0.458109059476856,-1.30008685424579,"down-regulated"
"AT1G05750","SETI_s.P-SETI_s.mock",0.00908134180736501,0.402597575039056,-0.338562776159062,"down-regulated"
"AT1G05750","SETI_s.PE-SETI_s.mock",0.00961034058162225,0.402597575039056,-0.394416353389323,"down-regulated"
"AT1G05900","SETI_ps.E-SETI_ps.mock",0.00118790861113802,-0.117020822101691,-0.0568169771538254,"down-regulated"
"AT1G05900","SETI_ps.PE-SETI_ps.mock",0.00979829441217797,0.202086209196414,-1.20350974649267,"down-regulated"
"AT1G06390","SETI_s.PE-SETI_s.mock",0.0072755487594396,0.106368080146171,0.511472441012971,"up-regulated"
"AT1G06820","SETI_WT.PE-SETI_WT.mock",0.00605847359927923,0.277905614146915,-0.496859284571464,"down-regulated"
"AT1G07728","SETI_WT.P-SETI_WT.mock",0.00629348449014255,0.285811599424923,-0.037986057190845,"down-regulated"
"AT1G08070","SETI_s.PE-SETI_s.mock",0.00181582646636613,-1,-0.575017027760648,"down-regulated"
"AT1G08630","SETI_s.P-SETI_s.mock",0.00745503119132922,1,5.61071689866045,"up-regulated"
"AT1G08630","SETI_WT.E-SETI_WT.mock",0.00727402214422857,1,5.60789342470821,"up-regulated"
"AT1G08630","SETI_WT.PE-SETI_WT.mock",0.00519185005996171,1,5.82246102762422,"up-regulated"
"AT1G08710","SETI_e.E-SETI_e.mock",0.00799626756624885,-0.171158549673285,-0.0186537189320126,"down-regulated"
"AT1G08710","SETI_e.P-SETI_e.mock",0.00737448354983063,0.10859019140955,0.124141370867085,"up-regulated"
"AT1G08970","SETI_p.P-SETI_p.mock",0.00118113533947205,0.116637563270326,0.380972928958251,"up-regulated"
