"target","contrast","adj.pval","deltaPS","log2FC","up.down"
"AT1G01550_P1","SETI_e.P-SETI_e.mock",3.45672536314861e-05,-0.462957412796243,0.914296700389691,"up-regulated"
"AT1G01550_P1","SETI_e.PE-SETI_e.mock",0.000153196906846453,-0.40899925239795,1.0345420975439,"up-regulated"
"AT1G01550_P1","SETI_p.P-SETI_p.mock",2.90978629688239e-05,-0.443749986389809,0.809673619791445,"up-regulated"
"AT1G01550_P1","SETI_p.PE-SETI_p.mock",4.57110975569984e-06,-0.453649284648429,0.78405464103022,"up-regulated"
"AT1G01550_P1","SETI_ps.P-SETI_ps.mock",7.88883236895108e-06,-0.451853331596405,0.768735504196985,"up-regulated"
"AT1G01550_P1","SETI_ps.PE-SETI_ps.mock",9.81070364282019e-07,-0.506217509064344,0.658682237667218,"up-regulated"
"AT1G01550_P1","SETI_s.E-SETI_s.mock",0.00447172078708174,-0.405808501736,0.359031983308209,"up-regulated"
"AT1G01550_P1","SETI_s.P-SETI_s.mock",4.93455880485429e-05,-0.45256005343738,0.545776423526282,"up-regulated"
"AT1G01550_P1","SETI_s.PE-SETI_s.mock",0.00215836924027055,-0.368606297358641,0.797224319008445,"up-regulated"
"AT1G01550_P1","SETI_WT.E-SETI_WT.mock",0.00139046643300564,-0.370152714297052,0.206758184999025,"up-regulated"
"AT1G01550_P1","SETI_WT.P-SETI_WT.mock",0.00180753970172198,-0.341732133792392,0.57536766655887,"up-regulated"
"AT1G01550_P1","SETI_WT.PE-SETI_WT.mock",0.00269307237677787,-0.366313083863557,0.386141470794735,"up-regulated"
"AT1G01550_P2","SETI_e.P-SETI_e.mock",1.3449521486514e-06,0.470602564557862,4.25120794188396,"up-regulated"
"AT1G01550_P2","SETI_e.PE-SETI_e.mock",2.31046010590644e-05,0.412021990365132,4.04103393558881,"up-regulated"
"AT1G01550_P2","SETI_p.P-SETI_p.mock",2.76277373458882e-06,0.454133442469471,4.07495717915155,"up-regulated"
"AT1G01550_P2","SETI_p.PE-SETI_p.mock",9.21893587535593e-06,0.45468605145263,4.04708255432828,"up-regulated"
"AT1G01550_P2","SETI_ps.P-SETI_ps.mock",1.42321857679928e-05,0.453449858135247,3.96598256801115,"up-regulated"
"AT1G01550_P2","SETI_ps.PE-SETI_ps.mock",6.37737408241832e-07,0.513951241732835,4.17744650912946,"up-regulated"
"AT1G01550_P2","SETI_s.E-SETI_s.mock",0.000948092003926484,0.413577551266181,2.75573896013771,"up-regulated"
"AT1G01550_P2","SETI_s.P-SETI_s.mock",7.67253573255171e-06,0.462333059265638,3.50465184520302,"up-regulated"
"AT1G01550_P2","SETI_s.PE-SETI_s.mock",0.000589678274745479,0.374129115934814,3.1843615963119,"up-regulated"
"AT1G01550_P2","SETI_WT.E-SETI_WT.mock",0.000259171489807198,0.373817463313279,2.68213946749476,"up-regulated"
"AT1G01550_P2","SETI_WT.P-SETI_WT.mock",0.000629261266110443,0.343381610602394,2.90901555398315,"up-regulated"
"AT1G01550_P2","SETI_WT.PE-SETI_WT.mock",0.00112851439201081,0.364201058388619,2.70095568227579,"up-regulated"
"AT1G01920_P2","SETI_s.P-SETI_s.mock",0.00460376759196927,-0.486069153974966,-4.73122715012835,"down-regulated"
"AT1G02280_P1","SETI_s.PE-SETI_s.mock",0.00374469003205032,0.176740236936087,-1.15806255420756,"down-regulated"
"AT1G02280_P2","SETI_s.PE-SETI_s.mock",0.000302039291744497,-0.16956487183369,-6.57566701707202,"down-regulated"
"AT1G02350_c5","SETI_WT.P-SETI_WT.mock",0.00261736213233534,-0.804391706060032,-7.75929298648403,"down-regulated"
"AT1G02520_c1","SETI_p.PE-SETI_p.mock",0.00751222342177813,-1,-2.02877226622059,"down-regulated"
"AT1G02520_c1","SETI_s.P-SETI_s.mock",0.00554938214028455,-1,-3.04786196380256,"down-regulated"
"AT1G02520_P1","SETI_p.PE-SETI_p.mock",0.00751222342177813,1,7.30802595927119,"up-regulated"
"AT1G02520_P1","SETI_s.P-SETI_s.mock",0.00554938214028455,1,6.48134904571877,"up-regulated"
"AT1G02990_P6","SETI_e.PE-SETI_e.mock",0.00076044057410131,0.139225007134456,7.33821198980359,"up-regulated"
"AT1G03830_P2","SETI_ps.P-SETI_ps.mock",0.00711811273424132,-0.795545580013436,-6.6166411224394,"down-regulated"
"AT1G03830_P2","SETI_WT.E-SETI_WT.mock",0.00367581686451206,-0.902057970130276,-5.53937810941946,"down-regulated"
"AT1G04080_P1","SETI_p.PE-SETI_p.mock",0.00643928225451612,0.196303206408416,0.912196950034102,"up-regulated"
"AT1G04080_P1","SETI_ps.P-SETI_ps.mock",0.00711811273424132,0.192238264012444,0.82883708506106,"up-regulated"
"AT1G04080_P1","SETI_ps.PE-SETI_ps.mock",6.21144198939834e-05,0.206329869128805,0.971087285120387,"up-regulated"
"AT1G04080_P1","SETI_WT.P-SETI_WT.mock",0.00499919871886188,0.242307013377873,0.88677742565017,"up-regulated"
"AT1G04160_c2","SETI_s.P-SETI_s.mock",0.00279390659920307,0.262920824502407,6.56683872382565,"up-regulated"
"AT1G04390_JS4","SETI_s.PE-SETI_s.mock",0.00979929353364319,-0.316496030769365,-5.89114556959135,"down-regulated"
"AT1G04620_JC2","SETI_e.PE-SETI_e.mock",0.00137259895987167,-0.344609618579012,-8.31634004171554,"down-regulated"
"AT1G04620_JC2","SETI_s.PE-SETI_s.mock",0.00142865635489049,-0.339919040041958,-8.46987577287437,"down-regulated"
"AT1G04700_P1","SETI_e.P-SETI_e.mock",0.00588495950330488,1,5.88339078583651,"up-regulated"
"AT1G04700_P2","SETI_e.P-SETI_e.mock",0.00588495950330488,-1,-3.476382441908,"down-regulated"
"AT1G04810_c1","SETI_s.P-SETI_s.mock",0.00101695555382057,-0.126216720332095,-6.9160404149227,"down-regulated"
"AT1G04810_c1","SETI_s.PE-SETI_s.mock",0.00155308563736667,-0.126216720332095,-6.95744842003039,"down-regulated"
"AT1G04810_P1","SETI_s.P-SETI_s.mock",0.00101695555382057,0.126216720332095,0.810905380631683,"up-regulated"
"AT1G04810_P1","SETI_s.PE-SETI_s.mock",0.00155308563736667,0.126216720332095,0.551325091535076,"up-regulated"
"AT1G04990_P6","SETI_p.P-SETI_p.mock",1.86827450105786e-07,0.597108765031735,8.00579647997626,"up-regulated"
"AT1G04990.1","SETI_p.P-SETI_p.mock",6.99157138803339e-05,-0.613774211672328,-4.67485953680131,"down-regulated"
"AT1G05120_s1","SETI_p.PE-SETI_p.mock",0.00692037047986278,-0.242113785708517,-4.68236607307755,"down-regulated"
"AT1G05200_ID1","SETI_e.PE-SETI_e.mock",0.00249726158752545,-0.119178465332125,-7.14065041040429,"down-regulated"
"AT1G05230_P2","SETI_s.P-SETI_s.mock",0.00086879242543194,-0.574034979364211,-7.22960942462218,"down-regulated"
"AT1G05320.2","SETI_WT.P-SETI_WT.mock",0.00664173060592247,-0.259135299591241,-5.77519852228008,"down-regulated"
"AT1G05670_P1","SETI_s.E-SETI_s.mock",0.00217166153995554,-0.707988363119779,-4.72151359728994,"down-regulated"
"AT1G05710_JS2","SETI_p.P-SETI_p.mock",0.00478789192256546,0.389656323883869,7.18047240501343,"up-regulated"
"AT1G05710_P3","SETI_p.P-SETI_p.mock",2.76277373458882e-06,-0.713183469235093,-5.94834073980388,"down-regulated"
"AT1G05710_P3","SETI_WT.PE-SETI_WT.mock",0.00281205031271338,-0.383745882194993,-5.39422526382391,"down-regulated"
"AT1G05900_c1","SETI_ps.E-SETI_ps.mock",0.00446060282690245,-0.117020822101691,-5.72522433485824,"down-regulated"
"AT1G06230_P1","SETI_p.PE-SETI_p.mock",0.00954694159373431,-0.207965581235139,-3.10042749689074,"down-regulated"
"AT1G06390_P2","SETI_s.PE-SETI_s.mock",0.00428424738886149,-0.105529030661067,-4.32351639206202,"down-regulated"
"AT1G06710_JS4","SETI_WT.E-SETI_WT.mock",0.00136496710602099,-0.449764956374118,-5.7760216001311,"down-regulated"
"AT1G06710_P9","SETI_s.E-SETI_s.mock",0.00747823630790806,0.602599209667358,5.13004323531062,"up-regulated"
"AT1G06820_P1","SETI_WT.PE-SETI_WT.mock",0.00269307237677787,0.277905614146915,0.0235398428423745,"up-regulated"
"AT1G07620_JS4","SETI_p.PE-SETI_p.mock",0.00989712163473386,-0.349865751019776,-2.78646963683533,"down-regulated"
"AT1G07640_P3","SETI_p.PE-SETI_p.mock",0.00712893279443024,0.346117431538332,1.92666419286767,"up-regulated"
