"Clusters","Targets"
"1","AT1G75750"
"1","AT5G41400"
"1","AT1G55265"
"1","AT3G21670"
"1","AT1G56580"
"1","AT5G65380"
"1","AT4G21910"
"1","AT3G14690"
"1","AT3G20300"
"1","AT1G02350"
"1","AT1G12240"
"1","AT2G20340"
"1","AT1G52000"
"1","AT4G12290"
"1","AT1G53460"
"1","AT2G43530"
"1","AT5G15850"
"1","AT3G14810"
"1","AT5G58670"
"1","AT4G00440"
"1","AT2G37580"
"1","AT4G34650"
"1","AT3G46900"
"1","AT4G01080"
"1","AT4G33950"
"1","AT5G57340"
"1","AT1G66350"
"1","AT3G62800"
"1","AT4G35550"
"1","AT1G79260"
"1","AT4G16563"
"1","AT1G21790"
"1","AT3G18040"
"1","AT4G18280"
"1","AT5G65470"
"1","AT1G73390"
"1","AT2G47440"
"1","AT1G30490"
"1","AT5G47560"
"1","AT1G22500"
"1","AT1G51440"
"1","AT5G62470"
"1","AT3G44120"
"1","AT1G64950"
"1","AT2G04110"
"1","AT2G15020"
"1","AT5G59030"
"1","AT5G65390"
"1","AT1G75310"
"1","AT3G46130"
"1","AT3G44310"
"1","AT4G34000"
"1","AT1G15100"
"1","AT2G45960"
"1","AT3G22200"
"1","AT1G22490"
"1","AT3G14395"
"1","AT5G01595"
"1","AT5G67480"
"1","AT4G00870"
"1","AT1G72790"
"1","AT4G30680"
"1","AT5G08150"
"1","AT2G46680"
"1","AT3G47950"
"1","AT1G14520"
"1","AT3G14067"
"1","AT2G23130"
"1","AT1G27200"
"1","AT1G50460"
"1","AT5G44565"
"1","AT1G22530"
"1","AT5G10946"
"1","AT1G07720"
"1","AT1G69870"
"1","AT5G52882"
"1","AT4G01070"
"1","AT3G19680"
"1","AT4G32250"
"1","AT1G67300"
"1","AT3G27210"
"1","AT5G40890"
"1","AT1G05562"
"1","AT3G27170"
"1","AT4G38400"
"1","AT5G13740"
"1","AT1G21410"
"1","AT5G16630"
"1","AT2G38750"
"1","AT4G34920"
"1","AT2G47780"
"1","AT3G11260"
"1","AT3G46650"
"1","AT1G69295"
"1","AT1G69780"
