"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","DNA-binding transcription factor activity","GO:0003700","true","3.808035547089656e-8","7.419299006234824","1586","536","80","22791","AT2G18160,AT1G29950,AT2G01570,AT4G40060,AT3G47620,AT2G23760,AT2G28350,AT4G36870,AT5G60850,AT3G06590,AT1G68670,AT3G04730,AT2G28550,AT3G57800,AT5G11060,AT1G30490,AT2G02080,AT5G43270,AT1G51140,AT3G13040,AT1G68520,AT2G31070,AT1G22490,AT2G40350,AT5G25220,AT2G43010,AT2G33480,AT1G66350,AT5G08130,AT2G23340,AT2G03710,AT1G06040,AT5G60890,AT1G19850,AT2G04890,AT4G34000,AT2G28510,AT1G35560,AT3G46130,AT1G18330,AT1G46768,AT1G30330,AT1G27050,AT1G74840,AT5G47370,AT2G34010,AT1G50420,AT5G16560,AT3G50750,AT5G65640,AT4G29190,AT3G24520,AT3G02990,AT5G17490,AT1G68360,AT1G01030,AT1G19000,AT5G06510,AT4G00950,AT4G00870,AT3G49930,AT2G36080,AT3G47600,AT4G18390,AT3G61150,AT3G59580,AT2G42300,AT1G52880,AT3G10040,AT5G63470,AT4G14560,AT5G61590,AT1G19220,AT1G17920,AT5G39860,AT5G10570,AT1G69310,AT1G27360,AT5G10970,AT1G49130"
"GO:MF","transcription regulator activity","GO:0140110","false","3.3123896817619197e-7","6.479858576873964","1685","536","80","22791","AT2G18160,AT1G29950,AT2G01570,AT4G40060,AT3G47620,AT2G23760,AT2G28350,AT4G36870,AT5G60850,AT3G06590,AT1G68670,AT3G04730,AT2G28550,AT3G57800,AT5G11060,AT1G30490,AT2G02080,AT5G43270,AT1G51140,AT3G13040,AT1G68520,AT2G31070,AT1G22490,AT2G40350,AT5G25220,AT2G43010,AT2G33480,AT1G66350,AT5G08130,AT2G23340,AT2G03710,AT1G06040,AT5G60890,AT1G19850,AT2G04890,AT4G34000,AT2G28510,AT1G35560,AT3G46130,AT1G18330,AT1G46768,AT1G30330,AT1G27050,AT1G74840,AT5G47370,AT2G34010,AT1G50420,AT5G16560,AT3G50750,AT5G65640,AT4G29190,AT3G24520,AT3G02990,AT5G17490,AT1G68360,AT1G01030,AT1G19000,AT5G06510,AT4G00950,AT4G00870,AT3G49930,AT2G36080,AT3G47600,AT4G18390,AT3G61150,AT3G59580,AT2G42300,AT1G52880,AT3G10040,AT5G63470,AT4G14560,AT5G61590,AT1G19220,AT1G17920,AT5G39860,AT5G10570,AT1G69310,AT1G27360,AT5G10970,AT1G49130"
"GO:MF","water transmembrane transporter activity","GO:0005372","false","0.000002800070695891248","5.552831003497828","22","536","8","22791","AT4G35100,AT2G45960,AT3G53420,AT1G01620,AT3G26520,AT2G37170,AT2G36830,AT4G23400"
"GO:MF","water channel activity","GO:0015250","true","0.000002800070695891248","5.552831003497828","22","536","8","22791","AT4G35100,AT2G45960,AT3G53420,AT1G01620,AT3G26520,AT2G37170,AT2G36830,AT4G23400"
"GO:MF","glycosyltransferase activity","GO:0016757","true","0.0002422784371133117","3.6156852365410694","598","536","34","22791","AT1G55850,AT3G46670,AT2G01850,AT2G31750,AT1G07250,AT4G32290,AT3G62660,AT4G02130,AT4G15490,AT5G05870,AT1G68020,AT5G11610,AT3G52060,AT1G27200,AT1G75420,AT4G34138,AT3G21750,AT3G58790,AT1G70290,AT1G60140,AT1G22380,AT4G24010,AT5G20250,AT1G23870,AT2G18560,AT5G07720,AT3G30300,AT3G16520,AT1G62330,AT5G15050,AT5G65730,AT1G20550,AT3G50740,AT5G13870"
"GO:MF","glucosyltransferase activity","GO:0046527","false","0.0005278495848633257","3.277489815667596","160","536","15","22791","AT1G55850,AT3G46670,AT2G01850,AT2G31750,AT1G07250,AT4G15490,AT5G05870,AT1G68020,AT4G34138,AT3G21750,AT4G24010,AT3G16520,AT5G65730,AT3G50740,AT5G13870"
"GO:MF","DNA binding","GO:0003677","true","0.0009524511331996553","3.0211572971496192","2384","536","88","22791","AT2G18160,AT1G29950,AT2G01570,AT4G40060,AT1G08880,AT3G47620,AT2G23760,AT2G28350,AT4G36870,AT5G60850,AT3G06590,AT1G68670,AT3G04730,AT2G28550,AT3G57800,AT5G11060,AT1G30490,AT2G02080,AT5G43270,AT4G16141,AT1G51140,AT3G13040,AT1G68520,AT2G31070,AT1G22490,AT2G40350,AT5G25220,AT2G28720,AT5G27670,AT5G16630,AT2G43010,AT3G18035,AT2G33480,AT5G08130,AT2G23340,AT2G03710,AT1G06040,AT5G60890,AT1G19850,AT5G43630,AT4G34000,AT2G28510,AT1G35560,AT3G46130,AT1G18330,AT1G46768,AT2G30620,AT1G30330,AT1G07090,AT1G74840,AT5G47370,AT3G18490,AT5G16560,AT3G50750,AT5G65640,AT4G29190,AT5G46640,AT3G24520,AT1G01780,AT3G02990,AT1G68360,AT1G01030,AT1G19000,AT5G06510,AT2G42610,AT4G00870,AT3G49930,AT2G36080,AT2G22840,AT3G47600,AT4G18390,AT3G61150,AT3G59580,AT2G42300,AT1G52880,AT4G31650,AT3G10040,AT5G63470,AT4G14560,AT3G54400,AT5G61590,AT1G19220,AT3G46580,AT1G17920,AT5G10570,AT1G69310,AT1G27360,AT1G63480"
"GO:MF","oligopeptide transmembrane transporter activity","GO:0035673","true","0.000957070356514478","3.01905613503102","35","536","7","22791","AT3G27020,AT2G40460,AT3G54140,AT4G16370,AT4G10770,AT5G14940,AT4G24120"
"GO:MF","amide transmembrane transporter activity","GO:0042887","false","0.001004163251518263","2.9981956761650816","49","536","8","22791","AT3G27020,AT2G40460,AT3G54140,AT4G16370,AT2G36830,AT4G10770,AT5G14940,AT4G24120"
"GO:MF","peptide transmembrane transporter activity","GO:1904680","false","0.0010231901558944328","2.9900436468535747","37","536","7","22791","AT3G27020,AT2G40460,AT3G54140,AT4G16370,AT4G10770,AT5G14940,AT4G24120"
