"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","catalytic activity","GO:0003824","true","0.00019423047937035265","3.7116826179722966","9135","534","271","22791","AT3G49670,AT4G00340,AT4G12320,AT2G45560,AT1G60800,AT4G26520,AT2G31790,AT4G24810,AT3G28040,AT1G62560,AT4G29720,AT3G12915,AT5G05890,AT5G19530,AT3G15354,AT3G54920,AT3G62700,AT5G16000,AT4G30110,AT2G18570,AT1G30530,AT1G49650,AT5G24155,AT4G34220,AT5G56590,AT2G01830,AT1G72810,AT4G27030,AT4G13770,AT1G31770,AT2G36570,AT3G58990,AT2G43200,AT5G58480,AT4G17770,AT1G16410,AT2G22980,AT4G37320,AT3G56370,AT5G23010,AT1G65590,AT1G26100,AT4G01130,AT5G14200,AT2G43100,AT1G21440,AT5G63180,AT3G62390,AT3G19710,AT4G24790,AT1G78370,AT5G44680,AT1G13250,AT4G10120,AT2G41820,AT1G27940,AT5G07180,AT4G39510,AT3G18850,AT3G16910,AT3G02060,AT1G74070,AT3G55630,AT1G32060,AT2G21330,AT1G03310,AT1G15690,AT3G16260,AT2G29630,AT4G26530,AT2G13360,AT5G46580,AT2G35780,AT2G30150,AT5G53170,AT5G38510,AT5G38430,AT1G68890,AT3G56040,AT5G16590,AT5G21930,AT1G55370,AT2G30390,AT1G26150,AT1G68010,AT3G62750,AT4G33500,AT3G43600,AT1G65070,AT3G51950,AT2G26730,AT3G14415,AT5G45650,AT1G62750,AT1G07110,AT1G64770,AT3G60750,AT2G24280,AT5G52100,AT4G13250,AT5G57030,AT2G40840,AT5G55540,AT3G10160,AT5G38420,AT2G04270,AT3G29320,AT3G06980,AT3G02830,AT3G46970,AT5G35220,AT3G14420,AT3G19480,AT5G02250,AT3G14980,AT5G54770,AT5G58260,AT3G14210,AT2G39730,AT1G17220,AT4G12830,AT5G20280,AT5G45300,AT1G19920,AT3G10270,AT5G22800,AT3G03770,AT5G13980,AT1G54820,AT4G18240,AT2G39930,AT1G50840,AT5G58310,AT5G46390,AT1G67660,AT4G30020,AT5G01930,AT3G09580,AT4G25080,AT2G05920,AT5G01920,AT1G05460,AT5G61480,AT3G22420,AT2G26840,AT1G58520,AT2G24120,AT4G12900,AT1G60550,AT1G44000,AT4G30720,AT2G03140,AT5G08370,AT1G33170,AT1G09750,AT4G32710,AT1G71695,AT1G60600,AT5G51560,AT1G12900,AT5G64380,AT3G03710,AT5G65700,AT1G15165,AT2G15820,AT1G11720,AT1G60990,AT4G15810,AT5G44530,AT4G39120,AT4G31390,AT3G23760,AT2G26080,AT5G26570,AT5G63420,AT3G48430,AT5G04060,AT1G70580,AT2G19170,AT5G62670,AT1G67690,AT5G27390,AT3G24660,AT5G14210,AT2G27040,AT3G07130,AT4G33010,AT1G30520,AT1G55350,AT1G49580,AT5G61350,AT4G31590,AT2G43360,AT3G53190,AT5G49555,AT1G29410,AT5G51350,AT4G03140,AT2G25840,AT5G13000,AT1G10760,AT3G18090,AT2G24230,AT2G37790,AT1G29660,AT4G20430,AT3G06140,AT5G04140,AT4G02510,AT3G18000,AT2G38230,AT4G24670,AT5G05580,AT5G06670,AT3G05180,AT2G22650,AT3G54720,AT3G51740,AT5G58300,AT3G48610,AT2G29300,AT5G04230,AT3G20440,AT4G25420,AT1G36180,AT2G18230,AT1G11130,AT2G32410,AT5G18700,AT5G04050,AT5G19730,AT4G30610,AT5G19210,AT1G80170,AT5G53900,AT1G80050,AT1G60590,AT3G04690,AT2G01950,AT4G14090,AT1G73600,AT3G44990,AT5G01890,AT2G02780,AT2G45970,AT1G68540,AT5G25590,AT4G37550,AT1G68940,AT2G40690,AT4G20940,AT1G01390,AT5G63140,AT3G24560,AT1G15080,AT1G45191,AT4G39770,AT4G36180,AT2G22810,AT1G11290,AT5G48900,AT1G15550,AT4G30520,AT3G52720,AT3G45940,AT1G12244,AT4G24780,AT2G27420,AT2G40150,AT2G34060,AT1G20160"
"GO:MF","starch binding","GO:2001070","true","0.00026823900582253834","3.5714780692071284","9","534","5","22791","AT1G07110,AT2G40840,AT2G04270,AT1G11720,AT5G26570"
"GO:MF","lyase activity","GO:0016829","false","0.018085296139990475","1.7426743754337","455","534","25","22791","AT4G26520,AT3G54920,AT1G72810,AT3G58990,AT2G43100,AT5G63180,AT2G21330,AT2G29630,AT4G26530,AT5G38430,AT1G68890,AT2G30390,AT5G38420,AT1G60550,AT1G44000,AT3G53190,AT2G38230,AT4G24670,AT5G04230,AT1G80170,AT1G60590,AT2G22810,AT5G48900,AT3G52720,AT4G24780"
"GO:MF","heterocyclic compound binding","GO:1901363","true","0.024201103590280073","1.6161648293815152","3251","534","106","22791","AT3G49670,AT4G00340,AT1G60800,AT4G24810,AT3G28040,AT1G62560,AT4G29720,AT3G12915,AT3G15354,AT3G62700,AT5G16000,AT4G30110,AT5G24155,AT4G34220,AT1G72810,AT1G31770,AT2G36570,AT3G56370,AT5G14200,AT3G12610,AT4G24790,AT2G41820,AT1G27940,AT5G07180,AT3G02060,AT3G55630,AT1G32060,AT3G09650,AT5G53170,AT4G16390,AT1G68890,AT5G16590,AT5G21930,AT1G26150,AT1G68010,AT1G26230,AT3G43600,AT1G65070,AT2G26730,AT3G14415,AT1G62750,AT1G07110,AT5G55540,AT3G10160,AT3G29320,AT3G06980,AT5G10470,AT3G46970,AT3G14420,AT3G19480,AT2G39730,AT1G17220,AT1G19920,AT3G10270,AT5G22800,AT3G03770,AT1G54820,AT5G57960,AT5G01920,AT1G05460,AT5G61480,AT3G22420,AT1G09750,AT4G32710,AT5G51560,AT2G20290,AT1G12900,AT5G65700,AT4G15810,AT4G31390,AT2G26080,AT5G26570,AT1G70580,AT5G62670,AT3G24660,AT5G14210,AT1G30520,AT1G49580,AT5G61350,AT3G49650,AT5G51350,AT2G25840,AT1G10760,AT3G18090,AT2G24230,AT3G50240,AT4G02510,AT5G06670,AT3G51740,AT5G58300,AT1G36180,AT1G11130,AT2G32410,AT5G18700,AT5G19210,AT3G04690,AT2G01950,AT5G01890,AT2G02780,AT2G40690,AT4G20940,AT3G24560,AT3G52910,AT4G36180,AT2G22810,AT4G30520"
"GO:MF","SHG alpha-glucan phosphorylase activity","GO:0102499","true","0.024201103590280073","1.6161648293815152","2","534","2","22791","AT3G29320,AT3G46970"
"GO:MF","linear malto-oligosaccharide phosphorylase activity","GO:0102250","true","0.024201103590280073","1.6161648293815152","2","534","2","22791","AT3G29320,AT3G46970"
"GO:MF","peptidoglycan binding","GO:0042834","true","0.024201103590280073","1.6161648293815152","2","534","2","22791","AT1G21880,AT1G77630"
"GO:MF","pectate lyase activity","GO:0030570","true","0.024201103590280073","1.6161648293815152","26","534","5","22791","AT3G54920,AT5G63180,AT3G53190,AT5G48900,AT4G24780"
"GO:MF","serine hydrolase activity","GO:0017171","false","0.024201103590280073","1.6161648293815152","192","534","13","22791","AT2G22980,AT2G35780,AT5G38510,AT5G45650,AT2G24280,AT5G46390,AT4G30020,AT2G05920,AT5G44530,AT2G19170,AT4G20430,AT4G30610,AT1G20160"
"GO:MF","oxidoreductase activity, acting on the CH-NH2 group of donors, disulfide as acceptor","GO:0016642","false","0.024201103590280073","1.6161648293815152","2","534","2","22791","AT2G26080,AT4G33010"
